Depth,Giesecke et al. 2014 (MADCAP)Calendar years BP,EPD uncalibratedRadiocarbon years BP,EPD calibratedCalendar years BP,Eucalyptus spike,Eucalyptus suspensionquantity added,Eucalyptus suspensionconcentration,Abies,Acer,Allium-type,Alnus,Amaranthaceae,Anthemis-type,Apiaceae,Armeria maritima (type B),Artemisia,Asphodelus-type,Betula,Boraginaceae,Botrychiumspore,Brassicaceae,Bryophyta undiff.spore,Buxus,Campanulaceae,Cannabaceae,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea cf. C. cyanus-type,Centaurea cf. C. nigra-type,Centaurea cf. C. scabiosa-type,Cichorioideae,Cirsium-type,Cladium mariscus,Cornaceae,Cornus,Corylus,Cyperaceae,Echium-type,Ephedra distachya,Ephedra fragilis-type,Equisetumspore,Ericales,Euonymus europaeus,Fabaceae,Fagus,Filipendula,Fraxinus excelsior-type,Fraxinus ornus,Galium-type,Geranium,Hedera,Helianthemum-type,Hippophaë,Ilex,Indeterminable/spore,Juglans,Juniperus-type,Larix,Liliaceae-type,Malvaceae,Mentha-type,Menyanthes trifoliata,Myriophyllum alterniflorum,Myriophyllum spicatum,Myriophyllum verticillatum,Nuphar,Nymphaea,Ornithogalum-type,Ostrya-type,Oxyria-type,Papaveraceae,Phillyrea,Picea,Pinus,Pistacia,Plantago,Plantago coronopus-type,Plantago lanceolata-type,Plantago major/P. media,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonaceae,Polypodiumspore,Populus,Potamogeton,Potentilla,Poterium sanguisorba,Primulaceae,Pteridiumspore,Quercus ilex,Quercus undiff.,Ranunculus-type,Resedaceae,Rhamnaceae,Rosaceae,Rumex,Salix,Sambucus,Saxifragaceae,Scrophulariaceae,Serratula-type,Solidago-type,Taxus,Thalictrum,Tilia,Typha angustifolia-type,Typha latifolia,Ulmus,Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Urtica-type,Valerianoideae,Viburnum,Vicia-type,Vitis,cf. Acorus,cf. Alchemilla,cf. Armeria (type A),cf. Baldellia,cf. Cedrus,cf. Centaurium,cf. Daphne,cf. Epilobium,cf. Euphorbia,cf. Hypericum,cf. Lonicera,cf. Myrtus,cf. Olea,cf. Persicaria amphibia,cf. Polygonum,cf. Succisa,cf. Viscum
3612,54073/53194/52316,--/53553/--,--/53553/--,321,1,22500,1,,,2,42,3,3,,77,,3,,,4,,,,,,1,,,,,,,,,,,5,,,,,,,,,1,,,9,,,1,,,,,5,,,,,,,,,,,,,,,,,30,,,,,,,134,30,,,,,,,,,,10,,,,,3,2,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,
3624,54228/53440/52654,--/53711/--,--/53711/--,340,1,22500,2,,,1,31,4,9,,80,,3,,,3,,,,,,2,,,,,2,,,,,,4,,2,1,,,,,2,1,,,11,,,1,,,,,,,,,,,,,,,,,,,,,,23,,,,,2,,155,6,,1,,,,,,,,12,,,,1,1,3,,,,,1,,3,,,,1,3,2,,,,,,,,,,,,,,,6,,,,,,,,
3634,54423/53560/52724,--/53888/--,--/53888/--,182,1,22500,2,,,,32,6,5,,48,,7,,,3,,,,,,,,,1,,,1,,,,1,8,,3,2,,,,,3,,1,,11,,,,1,,,,1,,,,,,,,,,,1,,,,,,45,,,,,2,,163,9,,,,,,,,,,21,,,,,6,1,,,1,,,,,,2,,1,2,5,,,,,,,,,,,,,,,2,,,,,,,,
3663,54891/53961/53026,--/54201/--,--/54201/--,137,,22500,14,,,2,27,6,6,,36,1,3,,,7,,,,,2,2,,,1,,,1,,,,4,8,,1,,,,,,23,1,,,3,,,,1,,,,6,,,,,,,,,,,,,,,,,61,,,,,,,135,15,,,,,,,,,,52,4,,,,2,2,,,,,,,1,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,
3683,55035/54217/53400,--/54537/--,--/54537/--,289,,22500,8,,,2,6,1,6,,44,,18,,,,,,,,,2,,,2,,4,,,,,2,7,,1,2,,,,1,29,,2,,6,,,,,,,,10,,,,,,,,,,,,,,,,,40,,,,,,,99,4,,,,3,,,,,,68,,,,1,,,,,1,,,,2,1,1,,5,4,,,,,,,,,,,,,,,,1,,,,,,,,
3723,55675/54800/53920,--/55002/--,--/55002/--,150,,22500,4,1,,2,18,2,4,,28,,18,,,4,,,,,1,,,,2,,,,,,,2,12,,,1,,,,,21,,1,,7,,,2,,,,,10,,,,,,,,,,,,,,,,1,32,,2,,,,,107,15,,,,,,,,,,55,,,,,2,3,,,,,,,1,,,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,
3743,55774/54981/54155,--/55239/--,--/55239/--,165,,22500,8,2,,2,8,2,5,,24,,12,,,,,,,,,,,,,,,,,,,6,2,,1,3,,,,,43,1,2,,5,,,,,,,,8,,,,,,,,,,,,,,,,1,49,,,,4,,,96,4,,,,,,,,,,57,,,,,,,,,,,4,,2,,,,4,1,2,,,,,,,,,,,,,,,1,,,,,,,,
3770,56217/55358/54537,--/55674/--,--/55674/--,115,,22500,2,,,2,14,2,8,,24,,20,,,6,,,,,,1,,,,,1,1,,,,2,5,,,3,,,,,6,,4,,11,,,,1,,,,4,,,,,,,,,,,,,,,,,31,,,,,3,,121,10,,,,1,,,,,,55,,,,,3,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,
3790,56504/55682/54832,--/55987/--,--/55987/--,220,,22500,1,2,,4,14,2,5,,33,,10,,,6,,,,,,1,,,,,3,1,,,,,5,,,,,,,,12,,5,,8,,,,,,,,10,,,,,,,,,,,,,,,,,47,,1,,,,,154,11,,,,2,1,,,,,55,1,,,,1,,,,,,,,2,,3,,,1,,,,,,,,,,,,,,,,1,,,,,,,,
3832,57308/56205/55068,--/56252/--,--/56252/--,,,,1,,,3,12,3,2,,40,,4,,,2,,,,,,,,,,,1,,,,,1,4,,1,3,,,,,8,,,,6,,,1,,,,,14,,,,,,,,,,,,,,,,,18,,,,,,,122,1,,,,5,,,,,,20,,,,,1,2,,,,,,,3,,2,,3,,3,,,,,,,,,,,,,,1,,,,,,,,,
3872,57193/56346/55509,--/56730/--,--/56730/--,,,,1,1,,1,39,4,6,,85,,1,,,4,,,,,2,1,,,1,,,,,,,,6,,1,,,,,,2,,,,8,,,1,,,,,13,,,,,,,,,,,,,,,,,12,,5,,1,,,158,3,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
3892,57604/56734/55841,--/56925/--,--/56925/--,,,,1,,,,18,3,8,,67,,,1,,2,,,,,,2,,,,,1,,,,,,4,,,2,,,,,4,,,,8,,,1,,,,,5,,,,,,,,,,,1,,,,,,21,,1,,,1,,165,1,,,,1,,,,,,26,,,,,1,,,,,,2,,,,1,,,1,3,,,,,,,,,,,,,,,,,,,,,,,
3934,58081/57213/56377,--/57576/--,--/57576/--,,,65000,,,,4,12,2,3,,50,,4,,,2,,,,,,,,,1,,,,,,,,4,,,3,,,,,6,1,,,4,,,1,,,,,18,,,,,,,,,,,,,,,,,17,,,,1,,,123,14,,,,,,,,,,19,,,,,4,,,,,,,,1,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,
3954,58742/57592/56500,--/58051/--,--/58051/--,,,65000,,1,,9,16,2,3,,31,,11,,,1,,,,,,2,,,1,,,,,,,5,3,,,2,,,,,12,1,4,,11,,,,,,,,13,,,,,,,,,,,1,,,,,,28,,,,,,,138,5,,,,2,,,,1,,37,,,,1,2,3,,,1,,,1,1,,3,,4,1,4,,,,,,,,,,,,,,,,,,,1,,,,
3972,59120/58048/56943,--/58359/--,--/58359/--,790,,22500,,1,,2,12,,,,23,,8,,,,,,,,,1,,,,,1,,,,,1,11,,,1,1,,,,3,,,,,,,1,,,,,20,,,,,,,,,,,1,,,,,1,28,,,,,1,,135,9,,,,4,,,,,,29,,,,,2,1,,,,,,,3,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
4012,59918/58724/57563,--/59055/--,--/59055/--,158,,22500,1,3,1,3,19,,1,,43,,4,,,3,,,,,,5,,,1,,1,,,,,,5,,,1,,,,,6,,1,,8,,,,,,,,23,,,,,,,,,,,,,,,,,19,,,,,2,,145,1,,,,3,,,,,,31,,,,,2,1,,,,,,,1,,9,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
4032,60143/59082/58052,--/59398/--,--/59398/--,524,,22500,1,,,3,8,,4,,43,,2,,,,,,,,,5,,,,,3,,,,,1,2,,,2,,,,,11,,2,,3,,,,,,,,17,,,,,,,,,,,,,,,,,21,,1,,,,,123,4,,,,3,,,,,,31,,,,,5,1,,,,,3,,1,,7,,1,,,,,,17,,,,,,,,,,,,,,,,,,,
4090,60857/60020/59177,--/60410/--,--/60410/--,223,1,22500,,,,2,24,5,2,,63,,6,,,2,,,,,,2,,,1,,1,,,,,,8,,,,,,,,2,,,,2,,,,2,,,,31,,,,,,,,,,,,,,,,,24,,,,1,,,126,3,,,,,,,,,,22,1,,,,,1,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,
4152,61916/60864/59847,--/61368/--,--/61368/--,192,,65000,1,,,2,42,1,2,,88,,,,,2,,,,,,1,,,,,,,,,,,7,,1,1,,,,,,1,,,5,,,1,,,,,58,,,,,,,,,,,,,,,,,9,,3,,,,,75,3,,,,,,,,,,3,,,,,2,1,,,,,,,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4212,63248/62270/61275,--/62482/--,--/62482/--,252,,65000,1,,,1,40,5,7,,74,,1,1,,3,,,,,,3,,,1,,1,,,,,,,,,1,,,,,1,1,,,7,,,,,,,,26,,,,,,,,,,,,,,,,,4,,,,,1,,106,6,,1,,,,,,,,5,,,,,3,1,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4292,64683/63759/62846,--/64029/--,--/64029/--,240,,65000,38,,1,15,43,5,6,,51,,2,1,,,,,,,2,,,,1,,1,2,,,,,1,,2,,,1,,,19,,,,7,,,1,,1,,,11,,,,,,,,,,,,1,,,,,13,,1,,,3,,66,4,,1,,,,,,,,39,,,,,1,,,,,,1,,,,,,7,1,1,,,,,,,,,,,,,,,,,,,,,,,
4332,65226/64246/63253,--/64577/--,--/64577/--,281,,65000,4,,,2,58,5,6,,106,,6,,,3,,,,,1,1,,,,,2,1,,,,2,2,,,1,,,,,9,,,,5,,1,,,,,,11,,,,,,,,,,,1,,,,,,15,,1,,,6,,93,3,,2,,,,,,,,6,,,,,,1,,,,,,,3,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
4405,66300/65335/64380,--/65805/--,--/65805/--,541,,22500,25,2,,20,29,4,5,,44,,4,,,1,,,,,4,1,,,2,,5,,,,,1,3,,,1,,,,,19,,2,,6,,,3,1,,,,18,,,,,,,,,,,,,,,,,17,,1,,,3,,97,2,,,,1,,,,,,25,,,,,3,1,,,,,3,,2,,1,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
4425,66966/65789/64647,--/66033/--,--/66033/--,129,,22500,29,,,27,17,3,5,,29,,6,,,2,,2,,,1,1,,,,1,2,1,,,,,3,,1,,,,,,24,,,,4,,1,,,1,,,23,,,,,,,,,,,,,,,,1,23,,,,,,,88,8,,,,5,,1,,,,51,1,,,,1,,,,,,,,1,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,
4445,67221/66026/64805,--/66517/--,--/66517/--,294,,22500,41,1,,30,21,,4,,25,,4,,,,,,,,8,2,,,1,1,,,,,,1,4,,1,,,,,,29,1,2,,7,,,,,,,,58,,,,,,,,,,,,,,,,,34,,3,,,,,123,7,,,,4,,,,,,47,,,,,1,1,,,,,1,,1,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,
4465,67761/66523/65241,--/66984/--,--/66984/--,129,,22500,15,,,15,32,4,1,,41,,3,1,,5,,,,,2,1,,,1,,,,,,,1,5,,,1,,,,,12,1,,,6,,1,2,,,,,42,,,,,,,,,,,,,,,,,12,,1,,,1,,126,13,,,,1,,,,,,15,,,,1,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
4485,68058/66971/65892,--/67279/--,--/67279/--,198,,22500,28,1,,28,28,6,2,,39,,1,1,,,,,,,1,1,,,2,,1,,,,,1,1,,,2,,,,,13,,1,,3,,,,1,,,,27,,,,,,,,,,,,,,,,1,20,,,,,5,,109,9,,,,2,,,,,,23,,,,1,1,1,,,,,3,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4510,68340/67357/66389,--/67629/--,--/67629/--,65,,22500,24,5,,29,20,3,5,,31,1,3,,,,,1,,,1,,1,,,,2,,,,,,2,,,1,,,,,24,,,,3,,1,,,,,,10,,,,,,,,,,,,1,,,,,16,,4,,,2,,85,6,,,,,,1,,,,55,,,,,,,,,,,2,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,
4530,68812/67639/66511,--/67630/--,--/67630/--,106,,22500,20,2,,32,25,,3,,30,,2,,,2,,1,,,3,,,,1,,,,,,,1,,,1,,,,,,16,,3,,7,,2,,1,,,,10,,,,,,,,,,,,,,,,,16,,1,,,2,,69,1,,,,2,,,,,,41,,,,,,,,,,,,,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
4550,68970/67688/66374,--/67982/--,--/67982/--,37,,22500,11,2,,33,33,4,4,,35,,6,,,4,,,,,1,1,,,,2,3,,,,,1,1,,,,,,,,27,,1,,10,,1,,1,,,,32,,,,,,,,,,,,,,,,,14,,3,,,,,82,7,,,,,,1,,,,41,,,,,2,,,,,,,,1,,1,,6,1,,,,,,,,,,,,,,,,2,,,,,,,,
4590,69120/68141/67144,--/68566/--,--/68566/--,99,,22500,6,,1,7,39,3,3,,69,,1,,,1,,,,,,1,,,1,,1,2,,,,,1,,,,,,,,2,1,,,6,,,,1,,,,31,,,,,,,,,,,,,,,,,20,,1,,,4,,124,14,,,,1,,,,,,8,,,,,,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4610,69547/68555/67544,--/68999/--,--/68999/--,109,,22500,3,1,,2,22,11,3,,53,,4,,,3,,,,,,3,,,,,3,2,,,,2,3,,3,,,,,,3,2,1,,9,,,,2,,,,27,,,,1,,,,,,,,1,,,,,18,,3,,1,5,,128,3,,,,1,,,,,,8,,,,,1,,,,1,,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,
4650,70489/69417/68289,--/69715/--,--/69715/--,97,,22500,5,,,2,18,8,4,,28,,4,,,5,,,,,,4,,,,1,1,,,,,,6,,,,,,,,11,,,,3,,,2,,,,,16,,,,,,,,,,,,,,,,,60,,,,,2,,111,8,,,,,,,,,,18,,,,,2,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,
4690,71365/70128/68861,--/70491/--,--/70491/--,399,,22500,6,2,,4,10,3,,,22,,2,,1,3,,,,,,,,,,,1,,,,,,2,,1,1,,,,,14,1,1,,5,,,,,,,,5,,,,,,,,,,,1,,,,,,40,,2,,,,,127,5,,,,,,,,,,23,1,,,,,1,,,,,1,,1,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,
4710,71519/70486/69458,--/70860/--,--/70860/--,172,,22500,9,1,,13,12,4,,,22,,8,,,1,,,,,1,4,,,1,,6,,,,,,,,,,,1,,1,10,1,3,,3,,1,,,,,,,,,,,,,,,,,,,,,,,33,,,,,1,,76,8,,,,,,,,1,,36,,,,,,2,,,,,1,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
4730,71868/70861/69812,--/71338/--,--/71338/--,92,,22500,2,,,4,9,3,5,,37,,1,,,13,,,,,,,,,,,1,4,,,,,,,1,2,,,,,4,3,,,10,,,,,,,,7,,,,,,,,,,,1,,,,,1,41,,2,,,1,,207,6,,,,1,,,,,,13,,,,,3,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4750,72851/71331/69892,--/71597/--,--/71597/--,178,,22500,7,,,7,7,,5,,30,,3,,,3,,,,,3,,,,1,1,1,,,,,,3,,,,,,,,5,,,,6,,,,3,,,,,,,,,,,,,,,,,,,,,46,,4,,,,,159,4,,,,,,,,,,26,1,,,,,1,,,,,,,4,,1,,2,1,,,,,,,,,,,,,,,,2,,,,,,,,
4770,72628/71619/70580,--/71815/--,--/71815/--,145,,22500,13,,1,13,23,9,12,,52,1,,,,,,,,,3,1,,,,,,,,,,1,1,,,,,,,,16,,,,4,,,,3,,,,2,,,,,,,,,,,3,1,,,,,26,,,,,3,,174,10,,,1,,,,,,,17,,,,1,2,,,,,,4,,1,,,,4,1,,,,,,,,,,,,,,,,4,,,,,,,1,
4790,72800/71805/70834,--/72077/--,--/72077/--,318,,22500,10,,,18,25,4,5,,27,,2,,1,4,,,,,2,,,,,1,3,1,,,,,2,,2,2,,1,,,8,,,,9,,1,,1,,,,1,,,,,,,,,,,,1,,,,,32,,,,,1,,129,3,,,,,,,,,,28,,,,,1,2,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,
4817,73317/72159/71009,--/72263/--,--/72263/--,182,,22500,5,3,,7,12,5,2,,23,,5,,,3,,,,,3,,,,1,,2,,,,,,2,,,1,,,,,16,2,1,,12,,2,,1,,,,,,,,,,,,,,,,1,,,,,24,,,,1,3,,125,5,,,,,,,,,,34,1,,,,1,1,,,,,3,,3,,,,7,1,1,,,,,,,,,,,,,,,,,,,,,,,
4837,73527/72269/70937,--/72484/--,--/72484/--,280,,22500,20,2,1,8,6,,2,,27,,7,,1,4,,,,,4,,,,,,1,,,,,1,4,,1,1,,2,,,5,2,,,4,,1,1,,,,,3,,,,,,,,,,,,1,,,,,35,,,,,2,,100,9,,,,,,,,,,23,,,,,1,,,,,,,,1,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,
4857,73864/72519/71138,--/72847/--,--/72847/--,239,,22500,8,1,,6,15,4,3,,29,,5,,,4,,,,,2,1,,,,,1,,,,,,2,,,,,,,,5,,,,7,,1,1,1,,,,,,,,,,,,,,,,,,,,,22,,,,1,,,108,9,,,,,,1,,,,16,,,,,1,,,,,,2,,3,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,
4877,74285/72823/71434,--/73234/--,--/73234/--,110,,22500,31,2,1,5,7,2,11,,22,,5,,,2,,,,,4,1,,,,,1,2,,,,,5,,,,,,,,30,,4,,7,,,,1,,,,2,,,,,,,,,,,1,,,,,1,43,,,,,3,,79,6,,,,,,,,,,40,,,,,2,,,,,,1,,,,,,22,1,,,,,,,,,,,,,,,,,,,,,,,,
4897,74296/73241/72193,--/73391/--,--/73391/--,225,,22500,41,3,,4,7,1,4,,14,2,16,,,3,,1,,,7,,,,,,3,,,,,2,5,,10,1,,,,,30,1,2,,2,,,,1,,,,1,,,,,,,,,,,,1,,,,,45,,,,,3,,61,3,,,,,,,,,,55,,,,,1,2,,,,,2,,2,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
4917,74748/73418/72135,--/73806/--,--/73806/--,106,,22500,29,3,,5,8,1,7,,17,,37,,,5,,,,,10,,,,,,,,,,,7,2,,1,2,,1,,,25,1,5,,2,,1,,1,,,,2,,,,,,,,,,,1,,,,,,34,,,,,2,,103,5,,,,,,,,,,65,,,,,3,2,,,,,1,,3,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,
4937,74946/73778/72549,--/74169/--,--/74169/--,141,,22500,11,3,1,3,5,1,5,,18,,39,,,2,,,,,1,1,1,,,,,,,,,4,4,,,,,,,1,12,,6,,4,,,,,,,,3,,,,,,1,,,,,,,,,,,34,,,,,2,,108,3,,,,,,,,,,57,,,,,,2,,,,,1,,4,,4,,8,3,,,,,,,,,,,,,,,,1,,,,,,,,
4957,75333/74170/72968,--/74331/--,--/74331/--,247,,22500,7,4,,13,8,1,5,,16,,11,,,3,,,,,1,,,,,,1,,,,,1,3,,,1,,,,,18,1,4,,8,,1,1,1,,,,2,,,,,,,,,,,,,,,,,56,,,,,,,107,7,,,,,,,,,,50,,,,,,,,,,,,,3,,,,4,5,,,,,,,,,,,,,,,,1,,,,,,,,
4977,75394/74338/73284,--/74440/--,--/74440/--,212,,22500,5,5,1,27,8,3,1,,17,,5,,,1,,,,,5,,,,,,3,,,,,2,2,,,1,,,,,15,1,1,,2,,,,,1,,,2,,,,,,1,,,,,,,,,,,24,,1,,,1,,85,2,,,,,,1,,,,74,,,,,2,1,,,,,,,,,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,
4997,75610/74429/73356,--/74838/--,--/74838/--,173,,22500,9,7,,28,11,2,2,,14,,2,,,6,,,,,1,,,,,,,,,,,2,,,1,,,,,,20,,3,,9,,1,,,,,,,,,,,,,,,,,,1,,,,,17,,,,,1,,89,7,,,,,,,,,,30,,,,,,,,,,,,,2,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,
5057,76623/75540/74499,--/75902/--,--/75902/--,230,,22500,4,,,6,15,5,4,,37,,1,,,3,,,,,2,1,,,1,,2,1,,,,,3,,,,,,,,4,,,,9,,,,,,,,1,,,,,,,,,,,,1,,,,1,28,,,,,2,,165,9,,,,1,,,,,,10,,,,,3,2,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5097,77285/76210/75112,--/76561/--,--/76561/--,168,,22500,4,,,1,18,13,3,,36,,,,,1,,,,,1,,,,,,1,2,,,,,3,,,1,,,,,3,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,147,11,,,,1,,,,,,5,,,,,2,2,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
