"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Helianthemum","Olea","Anthemis-type","Centaurea nigra-type","Serratula-type","Calluna","Indeterminable","Rumex","Pistacia","Ephedra fragilis-type","Ericaceae","Amaranthaceae","Plantago","Aster-type","Quercus suber-type","Cyperaceae","Unknown (trilete)","Quercus (evergreen-type)","Cedrus","Quercus (deciduous-type)","Poaceae","Taraxacum","Pinus","Lycopodium spike","Caryophyllaceae","Cirsium-type","Ephedra distachya-type","Anogramma leptophylla","Artemisia","Isoëtes","Cupressaceae","Gentianaceae","Alnus","Brassicaceae","Phillyrea","Mercurialis-type","Halimium","Lygeum spartum","Botrychium-type","Corylus","Vitis","Myrica","Centaurea scabiosa-type","Poterium sanguisorba","Unknown","Cistus","Pseudoschizaea","Asphodelus","Unknown (monolete)","Betula","Ophioglossum lusitanicum","Carpinus","Alisma-type","Selaginella","Fabaceae","Hedera helix","Polypodium vulgare-type","Scabiosa","Ambrosia-type","Lamiaceae","Rosaceae","Buxus","Salix","Tilia","Plumbaginaceae","Ulmus","Fraxinus excelsior-type","Mentha-type","Rhamnus-type","Cryptogramma","Thalictrum","Valerianoideae","Veronica-type","Apiaceae","Linum","Ranunculaceae","Hippophaë","Ulex-type","Tamarix","Abies","Poaceae (Cerealia-type)","Echinops","Typha","Acer","Centaurium","Campanulaceae","Pilularia globulifera","Potamogeton","Plantago lanceolata-type","Liliaceae","Vicia-type","Galium-type","Coriaria myrtifolia","Crassulaceae","Euphorbia","Polygonum aviculare-type","Pedicularis","Picea","Lemna","Taxus","Persicaria maculosa-type","Scrophulariaceae","Bupleurum-type","Spergularia-type","Primulaceae","Filipendula","Arceuthobium","Geranium","Boraginaceae","Urtica","Lythrum","Sanguisorba officinalis","Erodium","Populus"
39775,NA,NA,1355,"25084","4","3","","5","","","","4, 12","","","2","3","11","1","2","","1","","","18","4","1","2","368","872","","","10","","27","","10","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
40130,NA,NA,1365,"25084","3","4","","1","","","","2, 26","","","","4","2","","","","2","1","1","48","6","3","6","609","1380","","","3","","8","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
40299,NA,NA,1371,"25084","4.5","","","2","","","","1, 3","","1","5","7","11","1","","2","4","","4","23","8","7","5","273","398","","","2","","9","1","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
40771,NA,NA,1381,"25084","5.5","1","","3","","","","1, 2, 3","","","2","7","7","","","","","","4","16","7","7","2","308","166","1","","5","","18","1","30","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","3","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
40894,NA,NA,1385,"25084","3.5","6","","1","1","","","1, 2, 19","","","","4","4","","","","1","","","34","12","6","6","614","625","","","2","","10","","19","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
41197,NA,NA,1395,"25084","3","3","1","","","","","1, 23","","","","15","1","","1","1","1","","2","46","18","2","4","739","970","","","5","","6","","9","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
41462,NA,NA,1405,"25084","4.5","","","3","1","","","1, 11","","","2","9","8","","2","","1","","1","15","6","7","2","246","504","","","4","","35","1","8","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
41722,NA,NA,1415,"25084","3","","","1","1","","","2, 18","","","1","20","3","","2","","","","1","23","14","6","4","409","910","","","5","","10","1","11","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
41766,NA,NA,1417,"25084","3.5","4","1","3","","","","1, 3, 4, 18","2","","1","9","6","","1","","1","","3","18","9","5","3","376","597","","","8","","15","","9","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
41941,NA,NA,1425,"25084","3","","","3","","","","2, 3, 23","","","3","10","3","","2","","3","","2","23","10","5","5","527","524","","","5","","9","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
42073,NA,NA,1431,"25084","4.5","1","","1","","","","1, 2, 3","","","1","12","6","","","","3","","1","19","9","9","9","295","390","","","1","","7","3","17","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
42380,NA,NA,1445,"25084","3","2","","2","","","","1, 2, 10","","","","18","6","","2","","3","","2","36","11","1","4","388","1006","","","3","","7","1","4","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
42759,NA,NA,1455,"25084","3","3","","2","1","","","1, 2, 13","","","","9","2","","3","","2","1","1","25","9","2","1","537","2067","","","2","","12","1","16","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","1","","","","4","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
42955,NA,NA,1459,"25084","3","","","5","","","","2, 3, 31","","","","13","7","","1","","2","","","41","2","7","3","588","3045","1","","2","","8","","6","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
43242,NA,NA,1465,"25084","3","","","1","1","","","2, 4, 27","","","1","10","6","2","4","","1","","3","20","6","5","12","432","1066","","","4","","17","1","5","","1","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
43658,NA,NA,1475,"25084","4","2","","2","","","","1, 2, 16","","","1","6","6","1","1","","3","1","5","19","19","8","8","417","601","","","2","","14","","9","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
44074,NA,NA,1485,"25084","4.5","2","","1","","","","1, 26","","","1","21","8","1","3","","4","","7","20","9","6","3","514","601","","","","","8","1","7","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
44490,NA,NA,1495,"25084","3.5","2","","3","1","","","1, 16","","","","15","6","2","3","","2","","8","20","21","5","9","708","1121","","","4","","6","1","14","","","2","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
44906,NA,NA,1505,"25084","4","","","3","","","","3, 14","","","","16","2","1","","","1","1","6","19","8","7","8","641","540","1","","5","","9","","19","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
45155,NA,NA,1511,"25084","3.20000004768372","1","","","","","","1, 2, 3, 19","","","","10","2","1","3","","","1","","39","8","5","10","893","1423","1","","4","","4","","16","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
45328,NA,NA,1515,"25084","4.5","1","","4","","","","2, 11","","","1","12","4","","1","","1","","2","15","4","9","8","429","627","","","","","21","","16","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
45809,NA,NA,1525,"25084","4","1","","4","","","","2, 5","","","3","3","9","","2","","","","1","13","","3","1","239","468","","","2","","82","","5","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
46097,NA,NA,1531,"25084","3","","","","","","","2, 11","","","1","5","17","1","5","","","","","27","6","5","4","456","1818","1","","8","","35","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
46602,NA,NA,1541,"25084","4.5","2","","5","1","","","1, 23","","","","8","32","2","1","","","","","15","4","4","7","365","987","","","4","","20","2","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
46890,NA,NA,1545,"25084","5","1","","2","","","","4, 19","","","1","7","8","","1","","2","","2","27","17","8","9","638","352","","","3","","14","","5","","1","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
48113,NA,NA,1575,"25084","5","1","","2","","","","2, 3, 21","","","1","15","3","","","","1","","8","28","10","9","8","611","673","","","3","","9","","5","","1","1","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
