"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Rhamnaceae","Vitis","Brassicaceae","Typha angustifolia","Caryophyllaceae undiff.","Myriophyllum undiff.","Solidago-type","cf. Euphorbia","Indeterminable (crumpled)","Potamogeton","Galium-type","Fraxinus ornus","Indeterminable (broken)","Unknown (trilete)","Abies","Salix","Ulmus","Acer","Juglans","Amaranthaceae","Apiaceae undiff.","Cupressaceae-type","Fraxinus excelsior-type","Unknown undiff.","Betula","Pinus undiff.","Rumex","Carpinus betulus","Phillyrea","Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae undiff.","Fagus","Ostrya","Alnus","Poaceae undiff.","Quercus undiff.","Potentilla-type","Rosaceae undiff.","Cedrus","Digitalis-type","Pteridium","Ericaceae","Typha latifolia","Hedera","Poaceae (Cerealia-type)","Humulus/Cannabis","Tilia","Ranunculus","Scilla-type","Achillea/Anthemis-type","Fabaceae undiff.","Asphodelus-type","Nymphaea","Centaurea solstitialis-type","Urtica-type","Pistacia","Quercus ilex","Cirsium","cf. Platanus","Poterium sanguisorba","Angiospermae undiff. (herbs)","Spermatophyta undiff. (trees/shrubs)","Polypodiophyta undiff.","Cladium","Asteraceae undiff.","Populus","Saxifragaceae","Ephedra fragilis-type","Menyanthes","Taxus","Thalictrum","Sambucus","Buxus","Filipendula","Viscum","Lonicera","Nuphar","Mentha-type","Cornaceae","Oxyria-type","Ilex","Hippophaë","cf. Centaurium","Primulaceae undiff.","Bryophyta undiff.","Boraginaceae undiff.","Ephedra distachya","Echium-type","Viburnum","Helianthemum","Centaurea cf. C. cyanus/montana-type","Serratula-type","Armeria","Allium-type","Bistorta officinalis-type","Equisetum","Indeterminable (degraded)","Clusiaceae/Hypericaceae cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae undiff.","Geranium","cf. Alchemilla","Papaveraceae","Indeterminable (concealed)","Helleborus foetidus","Valeriana","Dipsacoideae","Thymelaeaceae cf. Daphne","Epilobium","cf. Androsace","Larix","Polypodium","Euonymus europaeus","Persicaria amphibia","Calligonum-type","Dryopteris","Ceratophyllum","cf. Frangula/Bruckenthalia","Pedicularis","Pinus subg. Strobus","Lemnoideae","Celtis","Sanguisorba officinalis","Fritillaria-type","Centaurea scabiosa","Scrophulariaceae","Sorbus","Liliaceae","Consolida ambigua-type","Helleborus viridis","Prunus spinosa","Sphagnum","Linum","Anagallis tenella","Anagallis arvensis","Scutellaria-type","Fumana","Pterocarya","Anemone nemorosa-type","Marrubium-type","Agrostemma githago","cf. Chrysosplenium","cf. Samolus valerandi","Fraxinus undiff.","Myriophyllum spicatum-type","Veronica-type","cf. Mercurialis","Myriophyllum verticillatum","Vicia","Trifolium-type","Lithospermum","Viola palustris-type","Tamarix","Bupleurum-type","cf. Epilobium","Myriophyllum alterniflorum","Persicaria maculosa-type","cf. Sedum","cf. Callitriche","Lotus","cf. Mentha","cf. Myrica","cf. Trichomanes","Ononis","cf. Elatine","cf. Circaea","cf. Larix","cf. Sambucus","cf. Daphne","Persicaria undiff.","cf. Onobrychis-type","cf. Helianthemum","Rosaceae cf. Geum","cf. Rutaceae"
15849,NA,NA,924.8,"","","","","","","","","","","","","","","","","","","","","31","","46","","","","12","5","","","","","","80","2","","3","","","","74","2","","","","","","","","","6","","","","","","","","","","","","","","","","19","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16028,NA,NA,928.7,"","","","","","","","","","","","","","","","","3","","","","40","","69","","","","8","","","","","","","62","","","7","","","","78","3","","","","","","","","","12","","","","","","","","","","","","","","","","21","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16107,NA,NA,930.5,"1","","","3","","3","","","1","2","","7","","","","","","","","","30","4","77","","1","3","21","","1","","1","","","95","1","","","","","","89","2","","2","","","","","","","","","","3","","4","1","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16207,NA,NA,935.5,"","","","","","","","","","","","","","","","","2","","","","24","","61","","","","10","2","","","","","","70","4","","5","","","","87","1","","","","","","","","","5","","","","","","","","","","","","","","","","14","4","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16387,NA,NA,944.6,"","","","","","","","","","","","","","","","","1","","","","31","","47","","","","9","3","","","","","","109","","","3","","","","115","","","","","","","","","","7","","","","","","","","","","","","","","","","24","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16566,NA,NA,953.6,"","","","","","","","","","","","","","","","","","","","","28","","50","","","","13","2","","","","","","73","6","","1","","","","100","1","","","","","","","","","5","","","","","","","","","","","","","","","","20","1","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16745,NA,NA,962.6,"","","","","","","","","","","","","","","","","","","","","24","","60","","","","11","3","","","","","","100","5","","8","","","","106","1","","","","","","","","","7","","","","","","","","","","","","","","","","18","2","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16881,NA,NA,969.5,"","","","2","","5","","1","1","5","","7","","2","","","1","","","","31","8","37","","1","","34","5","1","","1","","","120","2","","4","","","","142","3","","","","","","","","","","","","1","","7","1","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","5","","","","2","5","","","2","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16924,NA,NA,979.5,"","","","","","","","","","","","","","","","","","","","","10","","34","","","","48","1","1","","","","","57","2","","7","","","1","120","3","","","","","","","","","7","","","","","","","","","","","","","","","","21","6","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17387,NA,NA,989.5,"2","","1","2","","1","","1","","8","","13","","4","","1","1","","","","6","4","56","","3","1","66","1","","","","","","68","3","","5","","","2","168","2","","","","","","","","","10","","","1","","4","","","","","1","","","","","","","","","","","1","","","","","6","","","","","","","1","","","","","","","","1","2","","","8","","","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17763,NA,NA,1009.5,"2","","","3","","1","","8","1","2","","6","","1","","","1","1","","","11","3","22","","","6","65","1","","","","","","104","5","2","10","2","","2","177","2","","","","","","","","","2","","","","","","1","","","","","","","1","","","","","","","","","","","","","3","","","5","","","","1","","4","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17986,NA,NA,1019.5,"1","","","","","","1","2","1","","","3","","","","","","","","","29","13","10","","","1","75","","","","1","","","83","3","","13","","","","138","","","","","6","","1","","","","","","4","","2","","","","","","","","3","","1","","","","","","","","","","","2","","1","","","","","","","","","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18245,NA,NA,1029.5,"2","","","1","","1","","","2","8","1","7","","","","1","1","","","","14","7","44","","1","6","70","","","","1","","","69","3","","2","","1","","178","","","","","","","","","","3","","","1","","4","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","9","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18693,NA,NA,1049.5,"2","","","1","1","1","","1","","3","3","6","","3","","","","","","","9","3","44","1","5","3","67","","","","","","","73","2","","3","2","","","142","3","","","","","","","","","","","","","","","1","","","","","","","3","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","6","","3","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18826,NA,NA,1059.5,"1","","4","2","","3","","3","","4","","7","","3","","","","1","","","7","7","22","2","1","4","93","6","","","","","","64","3","","4","1","","4","160","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","1","","","","","","","","1","","","2","","3","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19050,NA,NA,1071,"1","","","","","","","2","","2","","9","","2","","","1","","","","5","3","16","","","1","74","3","","","","1","","43","2","","10","","","","161","1","","","","","","","","","","","","","","4","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","3","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19365,NA,NA,1111,"","","","2","","5","","8","","","","","","","","0.5","1","","","","18","3","2","","","","217","","","","","","","29","2","","14","4","","","50","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","10","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19635,NA,NA,1121,"2","","","","1","1","","4","","6","5","3","","3","","","","","","","8","7","25","","4","","64","5","","","","1","","66","5","2","17","1","","","141","","","","","2","","","","","5","","","3","4","5","3","","","1","","","","2","","","","","","","","","","","","","6","1","","","","","","1","1","","","2","","","11","","1","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20015,NA,NA,1130.5,"1","","","","","3","","","","3","","5","","","","","","","","","13","8","26","","4","1","85","","","","","","","51","5","","4","1","","","114","4","","","","","","","","","","","","6","","8","1","","","","","","","1","","","","","","","","","","","","","2","","","1","","","","","","","","","","","","1","1","","1","8","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21000,NA,NA,1162.5,"2","","","","","","","2","","4","","1","","","","","","1","","","5","3","8","","1","1","119","","","","","","","47","1","","4","1","","1","113","8","","","","","","","","","4","","","1","","7","1","","","","","","","1","","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","3","","","3","","","","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
