"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Rumex","Cistaceae","Quercus (evergreen)","Brassicaceae","Erica","Olea/Phillyrea","Artemisia","Cichorioideae","Asteroideae","Cyperaceae","Poaceae","Pinus","Amaranthaceae","Corylus","Ephedra fragilis-type","cf. Juniperus","Polypodiaceae","Plantago","Typha/Sparganium","Poaceae (Cerealia-type)","Tamarix","Ruppia","Quercus (deciduous)","Alnus","Liliaceae","Lamiaceae","Scabiosa","Betula","Armeria","Caryophyllaceae","Euphorbia","Myriophyllum","Salix","Sambucus","Tilia","Apiaceae","Vitis","Fabaceae","Campanulaceae","Fraxinus","Pistacia","Centaurea","Rhamnus","Persicaria maculosa-type","Polygala","Coriaria","Buxus","Hedera","Echium","Ephedra distachya-type","Thymelaea","Sanguisorba minor-type","Hypecoum","Lygeum","Chamaerops","Cannabaceae"
5099,NA,NA,940,3,5,88,2,3,26,23,9,4,11,26,240,30,1,1,2,1,0,2,0,1,0,5,1,0,0,0,3,0,0,0,0,0,1,0,4,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5207,NA,NA,980,1,10,92,0,0,30,23,6,1,4,8,141,31,2,2,2,0,4,0,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,2,8,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5303,NA,NA,1020,1,5,86,0,2,19,22,3,0,2,8,126,42,0,10,2,1,1,3,0,0,0,4,1,0,0,0,3,0,0,0,0,0,1,0,2,6,0,0,0,2,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0
5400,NA,NA,1060,0,3,122,4,2,16,18,1,3,3,21,99,47,3,2,1,0,2,1,0,0,0,5,3,0,1,0,2,0,0,0,0,0,0,0,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5495,NA,NA,1100,2,4,128,0,1,10,16,4,2,8,19,131,80,0,5,2,0,1,3,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5588,NA,NA,1140,2,3,84,0,3,10,18,4,1,5,16,96,157,1,3,8,0,2,4,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
5681,NA,NA,1180,0,3,129,0,1,20,14,2,1,3,14,62,158,2,2,8,0,0,8,0,2,0,15,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5805,NA,NA,1200,2,1,98,0,2,19,18,2,7,5,23,74,126,0,3,3,0,3,3,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
6112,NA,NA,1250,0,3,72,0,2,12,12,1,6,2,14,108,148,1,1,12,0,2,11,0,1,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6359,NA,NA,1290,0,3,99,1,2,15,12,3,5,7,16,125,187,0,4,9,0,0,3,0,2,0,10,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
