"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Melilotus-type","Rosaceae undiff.","Fraxinus","Juglans","Galium-type","Hedera","Rhamnus-type","Aster-type","Quercus suber-type","Echium","Phillyrea","Centaurea cyanus-type","Cichorieae","Ranunculus","Helianthemum","Plantago major/P. media-type","Poaceae (>50 µm)","Quercus (deciduous-type)","Apiaceae","Plantago coronopus-type","Botryococcus","Pinus","Brassicaceae","Coronilla-type","Rumex","Astragalus-type","Plantago lanceolata-type","Cyperaceae","Amaranthaceae","Ephedra undiff.","Artemisia","Cupressaceae","Ulex-type","Olea","Poaceae","Quercus (evergreen-type)","Cedrus","Pseudopediastrum boryanum","Myriophyllum","Salix","Xanthium","Urtica","Euphorbia","Pistacia","Anthemis-type","Lathyrus-type","Anagallis-type","Betula","Scrophulariaceae","Tilia","Typha latifolia","Alnus","Caryophyllaceae","Cistus","Saxifragaceae","Pteridophyta (trilete) undiff.","Acer","Fabaceae undiff.","Potamogeton","Lotus-type","Erica undiff.","Anthyllis rupestris","Corylus","Filipendula-type","Medicago-type","Mentha-type","Cytisus-type","Lygeum spartum","Convolvulus arvensis-type","Thalictrum","Primulaceae","Ilex","Lamiaceae","Indeterminable undiff.","Equisetum","Typha/Sparganium","Botrychium","Dipsacoideae","Alisma-type","Pteridium aquilinum","Anthericum","Buxus","Campanulaceae","Pteridophyta (monolete) undiff.","Rhus coriaria-type","Geranium","Rubus-type","Vitis","Polypodium","Poterium sanguisorba","Selaginella","Linum","Plantago undiff.","Potentilla-type"
8939.6,NA,NA,1481.3,NA,NA,5,NA,NA,NA,1,4,NA,NA,16,NA,1,2,1,1,NA,6,4,4,198,2,2,NA,12,NA,NA,1,5,1,24,10,NA,4,65,104,12,21,4,1,NA,NA,NA,9,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9051.3,NA,NA,1491.8,NA,NA,10,NA,1,NA,NA,3,3,NA,9,NA,NA,2,NA,1,1,21,2,1,361,1,2,NA,4,NA,1,NA,8,1,44,6,NA,6,62,128,3,60,NA,1,NA,NA,NA,14,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9176,NA,NA,1502.3,NA,NA,4,NA,1,1,NA,5,2,2,14,NA,NA,3,1,1,4,13,4,3,213,NA,2,NA,14,NA,1,1,5,1,52,7,NA,3,44,130,2,45,NA,1,NA,NA,NA,6,1,NA,NA,NA,4,NA,NA,NA,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9258.8,NA,NA,1512.8,NA,NA,3,NA,2,NA,1,1,2,2,12,NA,NA,1,NA,1,1,13,7,5,295,1,3,NA,3,NA,NA,2,7,1,37,6,NA,6,57,135,4,64,1,NA,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA,NA,10,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9345.6,NA,NA,1523.3,NA,NA,6,NA,NA,NA,NA,3,NA,NA,14,NA,1,7,1,2,NA,6,9,2,207,3,4,NA,8,NA,NA,2,9,NA,40,2,NA,5,60,100,5,41,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,4,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,2,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9432.7,NA,NA,1533.8,NA,NA,1,NA,1,NA,NA,1,1,NA,7,NA,1,4,NA,NA,4,12,4,3,362,1,NA,NA,5,NA,NA,2,6,NA,51,9,NA,4,46,111,4,39,1,3,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,1,3,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9520.6,NA,NA,1544.3,NA,NA,3,NA,NA,NA,1,NA,NA,NA,14,1,NA,2,NA,NA,2,5,10,NA,221,2,NA,NA,17,NA,NA,NA,5,NA,35,12,NA,2,69,118,3,68,1,3,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9608.8,NA,NA,1554.8,NA,NA,10,NA,1,NA,NA,1,NA,NA,5,1,NA,NA,NA,NA,1,7,4,3,369,3,NA,NA,6,NA,NA,NA,6,NA,45,7,NA,6,54,118,4,65,3,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9696.4,NA,NA,1565.3,NA,NA,9,NA,NA,NA,NA,1,NA,NA,9,NA,NA,4,NA,NA,3,6,4,7,349,NA,2,NA,14,NA,NA,3,10,NA,47,14,NA,4,71,112,1,71,NA,2,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,7,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,1,2,2,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
9783.5,NA,NA,1575.8,NA,NA,6,NA,2,NA,NA,NA,NA,1,6,1,NA,1,NA,NA,NA,5,4,3,180,NA,NA,NA,5,NA,NA,NA,14,NA,62,7,NA,5,41,121,4,22,NA,3,NA,NA,NA,9,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9869.6,NA,NA,1586.3,NA,NA,7,NA,1,NA,1,2,2,NA,5,NA,NA,7,NA,NA,2,2,4,1,239,2,2,NA,9,NA,NA,3,10,NA,40,8,NA,7,60,126,3,72,NA,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9939.7,NA,NA,1594.5,NA,NA,9,NA,NA,NA,NA,6,3,NA,7,NA,NA,5,NA,1,1,23,10,5,2163,NA,1,NA,11,NA,NA,2,18,2,102,14,NA,7,91,215,23,145,3,1,NA,NA,1,8,1,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,7,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
10015.9,NA,NA,1601.6,NA,1,3,NA,3,NA,NA,1,NA,2,6,NA,NA,2,1,2,1,3,6,5,222,2,1,NA,2,NA,NA,3,10,NA,14,20,NA,4,59,129,41,45,11,NA,NA,NA,1,3,1,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10069.9,NA,NA,1609,NA,NA,7,NA,NA,NA,NA,1,NA,NA,6,NA,1,2,NA,1,3,3,1,5,336,11,1,NA,5,NA,NA,2,10,NA,29,20,NA,3,67,104,57,30,2,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
10154.6,NA,NA,1619.6,NA,1,9,NA,2,NA,NA,NA,3,2,3,NA,NA,2,NA,NA,4,10,7,4,299,1,3,NA,7,NA,NA,1,7,1,41,31,NA,4,67,132,38,59,7,2,NA,NA,NA,11,1,NA,NA,NA,1,NA,NA,NA,8,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10206.7,NA,NA,1626,NA,1,3,NA,NA,NA,NA,5,NA,NA,7,1,1,1,NA,NA,NA,10,6,2,196,4,7,NA,12,NA,NA,2,9,1,42,17,NA,4,67,119,16,33,1,3,NA,NA,NA,13,1,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
10293.3,NA,NA,1636.6,NA,1,5,NA,NA,NA,NA,3,NA,NA,5,NA,NA,4,NA,NA,2,7,5,6,176,2,6,NA,14,NA,NA,1,9,NA,41,11,NA,4,50,90,13,31,1,1,NA,1,NA,10,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,4,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
10380.7,NA,NA,1647.2,NA,NA,3,NA,NA,NA,NA,1,1,NA,17,NA,NA,5,NA,NA,5,6,5,2,284,1,2,NA,11,NA,NA,1,9,2,64,11,NA,3,51,86,5,67,2,NA,NA,NA,NA,10,1,NA,NA,NA,5,NA,NA,NA,8,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,3,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10468.1,NA,NA,1657.8,NA,NA,2,NA,1,NA,NA,2,NA,NA,6,2,1,1,NA,NA,NA,1,12,2,270,2,2,NA,10,NA,NA,1,10,NA,67,14,NA,3,55,89,1,109,NA,2,NA,NA,NA,7,NA,NA,NA,NA,3,NA,NA,NA,8,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10555.4,NA,NA,1668.5,NA,NA,2,NA,NA,NA,NA,NA,1,NA,6,1,NA,2,1,NA,2,1,6,4,361,1,2,NA,9,NA,NA,1,12,NA,67,11,NA,4,59,103,7,101,1,3,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10642.4,NA,NA,1679.1,NA,NA,4,NA,2,NA,NA,2,NA,NA,14,NA,NA,1,NA,1,1,2,4,3,88,NA,5,NA,6,NA,NA,2,8,NA,43,19,NA,5,79,62,NA,176,3,3,NA,NA,NA,19,NA,NA,NA,NA,2,NA,NA,NA,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10722.4,NA,NA,1689.7,NA,NA,6,NA,NA,NA,NA,3,NA,NA,9,NA,NA,NA,1,NA,1,5,4,1,347,1,1,NA,5,NA,NA,3,3,NA,67,20,NA,4,64,94,3,71,2,5,NA,NA,NA,17,1,NA,NA,NA,2,NA,NA,NA,9,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
10802.5,NA,NA,1700.3,NA,NA,2,NA,1,NA,NA,NA,1,NA,11,1,NA,2,NA,1,2,5,14,2,160,1,NA,NA,7,NA,NA,1,6,NA,60,14,NA,4,58,86,1,152,NA,2,NA,NA,NA,14,NA,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
10852.6,NA,NA,1710.9,NA,NA,9,NA,2,NA,NA,2,1,NA,7,NA,1,1,NA,1,4,10,9,2,285,NA,1,NA,10,NA,NA,NA,8,1,59,18,NA,7,77,71,1,226,3,NA,NA,NA,NA,11,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
10901.8,NA,NA,1721.5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,2,2,NA,NA,1,2,6,2,305,1,NA,NA,13,NA,NA,1,7,2,78,17,NA,4,62,97,1,370,NA,2,NA,NA,NA,13,1,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10951.1,NA,NA,1732.2,NA,NA,2,NA,1,NA,NA,NA,NA,1,9,NA,1,3,NA,2,5,5,5,1,241,NA,3,NA,14,NA,NA,2,6,2,70,15,NA,2,69,83,NA,248,4,4,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11000.3,NA,NA,1742.8,NA,NA,3,NA,1,NA,NA,2,2,NA,7,1,1,NA,NA,NA,1,4,9,3,315,1,1,NA,4,NA,NA,1,6,1,72,11,NA,2,64,87,NA,159,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11049.7,NA,NA,1753.4,NA,NA,1,NA,1,1,NA,6,NA,NA,6,NA,1,3,NA,NA,4,8,5,2,218,1,1,NA,15,NA,NA,2,6,1,88,15,NA,4,49,78,1,131,2,2,NA,NA,NA,13,2,NA,NA,NA,3,NA,NA,NA,7,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
11098.8,NA,NA,1764,NA,NA,2,NA,NA,NA,NA,2,1,1,6,2,1,1,1,1,1,9,11,6,216,1,2,NA,7,NA,NA,2,6,2,77,17,NA,4,73,63,1,300,NA,1,NA,NA,NA,16,NA,NA,NA,NA,2,NA,NA,NA,7,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
11147.6,NA,NA,1774.6,NA,NA,3,NA,NA,NA,NA,2,2,NA,10,1,NA,3,NA,1,4,4,9,3,183,NA,2,NA,20,NA,NA,4,15,NA,75,18,NA,1,71,74,NA,42,1,1,NA,NA,NA,18,2,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
11196.5,NA,NA,1785.2,NA,NA,2,NA,2,NA,NA,3,NA,NA,1,NA,NA,3,NA,NA,1,4,4,5,350,1,3,NA,9,NA,NA,4,11,3,66,24,NA,1,57,62,NA,67,NA,2,NA,NA,NA,17,1,NA,NA,NA,3,NA,NA,NA,7,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,3,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11230.6,NA,NA,1792.5,NA,NA,3,NA,NA,NA,NA,3,1,1,NA,NA,2,1,NA,1,3,NA,6,5,281,NA,1,NA,9,NA,NA,NA,14,NA,100,15,NA,3,52,66,NA,134,NA,NA,NA,NA,NA,6,1,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11293.1,NA,NA,1804.5,NA,NA,5,NA,1,NA,NA,3,NA,NA,6,NA,NA,4,NA,1,3,1,8,4,305,2,3,NA,13,NA,NA,3,8,2,87,17,NA,7,65,122,1,670,NA,NA,NA,1,NA,13,1,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,3,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
11333.1,NA,NA,1814.5,NA,NA,NA,NA,3,NA,NA,1,3,NA,4,NA,1,5,2,2,2,3,7,7,195,1,3,NA,5,NA,NA,1,10,2,74,17,NA,3,63,66,NA,109,1,1,NA,NA,NA,10,1,NA,NA,NA,4,NA,NA,NA,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11385.8,NA,NA,1826.5,NA,NA,4,NA,NA,NA,NA,1,1,1,6,NA,1,1,NA,NA,NA,2,6,2,214,1,1,NA,19,NA,NA,4,10,NA,80,23,NA,3,64,89,NA,45,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,1,NA,NA,NA,11,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA
11420.7,NA,NA,1834.5,NA,NA,2,NA,1,NA,1,3,2,NA,5,NA,1,4,NA,NA,4,1,11,1,180,NA,1,NA,12,NA,NA,2,11,NA,83,19,NA,1,60,68,4,31,NA,2,NA,NA,NA,19,2,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,1,1,1,4,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11433.9,NA,NA,1837.5,NA,NA,4,NA,2,NA,1,2,1,NA,2,NA,NA,4,NA,3,1,2,10,7,216,NA,2,NA,12,NA,NA,5,8,1,91,16,NA,2,79,67,2,74,3,4,NA,NA,NA,16,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11464.6,NA,NA,1844.5,NA,NA,3,NA,1,NA,NA,3,1,1,9,NA,NA,4,1,NA,2,1,12,2,204,1,1,NA,16,NA,NA,2,14,2,103,20,NA,7,78,94,NA,32,1,2,NA,NA,NA,22,NA,NA,NA,NA,1,NA,NA,NA,8,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
11508.8,NA,NA,1854.5,NA,NA,NA,NA,NA,NA,NA,2,1,NA,5,1,1,1,1,NA,NA,21,7,4,292,NA,4,NA,13,NA,NA,4,7,2,91,10,NA,2,59,87,NA,NA,3,1,NA,NA,NA,14,NA,NA,NA,NA,2,NA,NA,NA,9,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11531,NA,NA,1859.5,NA,NA,2,NA,2,NA,NA,1,NA,NA,3,NA,NA,3,NA,1,1,1,7,3,185,NA,2,NA,12,NA,NA,4,3,1,77,22,NA,2,70,75,NA,56,1,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,2,NA,1,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
11553.1,NA,NA,1864.5,NA,NA,2,NA,2,NA,NA,3,1,NA,4,NA,NA,1,1,1,NA,3,6,2,168,NA,NA,NA,10,NA,NA,2,8,1,68,26,NA,5,83,103,NA,29,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
11588.3,NA,NA,1872.5,NA,NA,2,NA,1,NA,NA,NA,1,1,1,NA,NA,3,NA,NA,NA,1,6,2,213,1,3,NA,21,NA,NA,3,3,NA,80,21,NA,4,73,75,NA,76,4,1,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11597.2,NA,NA,1874.5,NA,NA,NA,NA,1,NA,NA,2,1,1,2,1,2,2,NA,NA,NA,3,11,5,142,NA,1,NA,18,NA,NA,6,6,2,94,20,NA,2,53,74,1,22,1,1,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11641.7,NA,NA,1884.5,NA,NA,3,NA,NA,NA,NA,2,NA,NA,4,NA,NA,4,1,NA,NA,3,5,3,157,1,3,NA,10,NA,NA,4,2,1,61,26,NA,3,73,89,NA,9,2,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
11686,NA,NA,1894.5,NA,NA,NA,NA,1,NA,NA,2,NA,NA,5,NA,2,3,NA,3,1,7,7,1,108,1,4,NA,11,NA,NA,5,10,NA,71,8,NA,NA,67,54,1,3,2,1,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,NA,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11730,NA,NA,1904.5,NA,NA,1,NA,NA,NA,NA,NA,1,NA,5,NA,NA,4,2,NA,2,7,7,2,153,NA,5,NA,5,NA,NA,6,7,1,69,14,NA,3,72,65,NA,7,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11756.4,NA,NA,1910.5,NA,NA,2,NA,NA,1,NA,1,2,1,3,NA,2,5,NA,NA,1,2,8,2,106,NA,2,NA,17,NA,NA,1,3,1,85,25,NA,2,66,71,NA,2,3,1,NA,NA,NA,27,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11774.1,NA,NA,1914.5,NA,NA,1,NA,1,NA,NA,2,NA,NA,5,NA,1,1,NA,1,3,5,3,2,104,1,3,NA,15,NA,NA,4,8,NA,64,18,NA,3,77,57,NA,1,1,1,NA,NA,1,22,1,NA,NA,NA,1,NA,NA,NA,16,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11809.4,NA,NA,1922.5,NA,NA,1,NA,2,NA,1,2,1,1,2,NA,2,4,NA,1,1,1,6,2,152,1,5,NA,18,NA,1,NA,5,NA,81,27,NA,NA,62,57,NA,6,NA,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11818,NA,NA,1924.5,NA,NA,1,NA,NA,NA,NA,2,NA,NA,6,NA,1,2,1,NA,2,5,3,3,169,NA,1,NA,3,NA,NA,4,5,1,78,21,NA,6,91,51,NA,3,1,3,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
