"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pseudopediastrum boryanum","Castanea","Geum-type","Cichorioideae","Sagittaria","Xanthium","Pistacia","Ranunculus","Plantago major-type","Papaver","Convolvulus","Capsella-type","Centaurea solstitialis-type","Ephedra distachya-type","Ephedra fragilis-type","Paliurus","Betula","Nuphar","Asteroideae","Persicaria maculosa-type","Poaceae (Cerealia-type)","Polypodium","Caryophyllaceae","Nymphaea","Ulmus","Populus","Juniperus","Nymphoides","Olea","Pteridium","Juglans","Alisma","Myriophyllum alterniflorum","Polygonum aviculare-type","Tilia","Plantago lanceolata-type","Artemisia herba-alba-type","Poterium sanguisorba","Apiaceae","Isoëtes","Abies","Ericaceae","Amaranthaceae","Rumex acetosa-type","Dryopteris-type","Alnus","Fagus","Fraxinus ornus","Sparganium-type","Brassica-type","Carpinus betulus","Corylus","Unknown","Quercus ilex","Cyperaceae","Pinus","Ostrya/Carpinus orientalis","Poaceae","Myriophyllum spicatum/M. verticillatum","Quercus robur-type","Acer","Liliaceae","Ranunculaceae","Rosaceae","Helianthemum","Lotus-type","Hypericum perforatum-type","Thalictrum","Galium-type","Matricaria-type","Fallopia convolvulus-type","Platanus","Vitis","Lysimachia","Malva","Butomus umbellatus","Trifolium-type","Plantago media-type","Fraxinus excelsior","Ranunculus repens-type","Thymus/Mentha","Ranunculus sect. Batrachium-type","Crataegus-type","Typha latifolia","Stachys-type","Phillyrea angustifolia","Ophioglossum","Lythrum","Plantago undiff.","Fabaceae","Rumex hydrolapathum","Menyanthes trifoliata","Potamogeton","Humulus/Cannabis","Mercurialis","Clematis-type","Artemisia vulgaris-type","Colchicum","Calligonum","Equisetum","Cornus","Ranunculus sceleratus-type","Persicaria amphibia","Hedera","Centaurea cyanus-type","Asphodelus albus-type","Scilla-type","Cladium mariscus","Muscari","Scorzonera-type","Ranunculus circinatus","Helleborus","Viburnum-type","Oleaceae","Campanula-type","Plantago coronopus-type","Plantago maritima-type","Abutilon","Centaurea scabiosa-type","Bupleurum-type","Centaurea jacea-type","Potentilla-type","Pediastrum duplex","Rhinanthus-type","Teucrium","Scrophularia/Verbascum","Onobrychis-type","Salix","Ranunculus acris","Pediastrum divergens","Urtica","Pediastrum longicorne","Valeriana","Knautia","Allium","Solanum dulcamara","Boraginaceae","Euphorbia","Trifolium pratense","Geraniaceae","Centaurea undiff.","Salvinia","Thelypteris palustris","Monactinus simplex","Pseudopediastrum kawraiskyi","Filipendula","Ilex","Buxus","Sphagnum","Cistaceae","Taxus","Pseudopediastrum brevicorne","Lemna","Geranium","Hippophaë","Caltha","cf. Lycopodium","Armeria/Limonium","Saxifraga rotundifolia","Cirsium/Gundelia","Senecio-type","Scabiosa","Noaea-type","Lonicera","Linum","Utricularia","Hippuris","Aquilegia-type","Epilobium","Azolla","Erodium","Herniaria-type","Sambucus nigra-type","Fraxinus","Juniperus sabina","Myosotis","Adonis","Nigella","Lamiaceae","Dipsacoideae","Leontice leontopetalum","Saxifraga oppositifolia","Dipsacus-type","Genista-type","Spergularia-type","Rhamnaceae","Botrychium","Picea","Stratiotes","Symphytum-type","Echinops","Acorus calamus","Cistus","Viscum","Succisa","Brassicaceae","Rumex patientia var. kurdicus","Delphinium-type","Rhus","Vicia-type","Matthiola"
31257,32197,30413,665,89,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,22,7,6,1,1,NA,2,5,1,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,88,NA,6,NA,4,NA,24,3,3,3,NA,NA,2,1,NA,3,8,NA,121,38,NA,167,40,85,1,NA,NA,NA,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31502,32454,30648,670,525,NA,NA,2,2,NA,NA,1,NA,NA,NA,6,5,1,2,NA,29,27,14,2,3,NA,8,25,2,NA,3,NA,NA,NA,NA,2,NA,3,NA,NA,193,NA,17,NA,18,NA,60,11,3,2,1,NA,21,6,NA,6,2,1,180,107,NA,400,198,208,3,NA,NA,NA,NA,NA,1,7,14,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,NA,1,NA,7,NA,NA,NA,19,NA,NA,NA,14,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,433,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,228,NA,NA,NA,NA,NA,NA,98,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31993,32970,31118,680,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,5,NA,3,NA,5,4,5,NA,6,NA,3,NA,2,NA,NA,NA,NA,2,3,NA,3,3,90,NA,10,NA,14,NA,32,5,NA,4,8,NA,8,1,8,11,6,NA,16,85,NA,173,NA,247,NA,NA,1,NA,1,NA,NA,2,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32484,33486,31589,690,9,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,13,5,4,NA,4,2,30,NA,2,NA,13,NA,6,NA,1,NA,NA,NA,NA,NA,1,9,NA,1,165,NA,9,NA,4,NA,88,2,7,5,13,NA,11,5,8,14,5,1,9,27,1,126,4,190,3,NA,1,NA,2,NA,1,4,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32730,33744,31824,695,137,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,7,3,3,NA,10,NA,8,4,3,NA,6,1,3,NA,1,NA,NA,NA,NA,1,NA,16,NA,1,172,NA,4,NA,13,NA,87,2,2,3,2,NA,7,9,4,11,7,NA,11,53,2,210,3,164,4,NA,NA,NA,1,NA,NA,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,17,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,7,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,1,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,72,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32975,34001,32058,700,86,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,5,6,2,3,NA,5,2,12,2,2,NA,1,NA,6,NA,5,NA,NA,NA,NA,1,NA,6,1,2,84,NA,3,NA,5,NA,37,7,2,5,4,NA,12,5,11,3,6,NA,19,59,2,172,7,199,1,NA,NA,1,NA,NA,NA,6,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,7,NA,1,NA,16,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,5,NA,NA,1,NA,NA,48,1,NA,NA,NA,NA,1,NA,NA,17,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33221,34259,32293,705,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,7,NA,12,2,NA,NA,4,NA,3,NA,1,NA,NA,NA,NA,NA,2,10,1,3,205,NA,8,NA,3,NA,76,8,4,4,4,NA,10,3,5,6,13,2,6,13,NA,150,4,105,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33466,34517,32529,710,286,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,8,1,1,NA,11,1,11,5,2,NA,6,1,2,NA,5,NA,NA,NA,NA,1,NA,9,1,NA,244,NA,10,NA,13,NA,74,9,NA,2,2,NA,26,6,22,11,1,1,42,80,5,276,10,240,1,1,NA,NA,3,NA,NA,3,14,8,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,137,1,NA,NA,NA,NA,1,NA,NA,33,NA,NA,1,NA,NA,1,NA,NA,NA,12,NA,NA,154,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33957,35032,32997,720,64,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,4,NA,5,4,2,NA,6,1,1,NA,NA,NA,NA,NA,NA,1,1,3,2,3,95,NA,4,NA,19,NA,19,3,4,2,8,1,8,NA,35,25,2,2,8,96,1,127,4,155,2,NA,NA,NA,2,1,NA,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34448,35548,33466,730,49,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,NA,6,1,3,NA,7,NA,7,1,9,NA,2,NA,NA,NA,NA,NA,NA,8,2,NA,105,1,7,NA,33,NA,22,10,NA,4,27,NA,3,NA,81,49,4,3,15,92,12,148,1,291,4,NA,NA,1,2,NA,NA,5,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35037,36166,34029,742,59,NA,NA,13,NA,NA,NA,NA,NA,NA,1,NA,6,4,5,NA,13,NA,31,3,6,NA,24,5,11,NA,4,NA,NA,2,NA,1,NA,8,5,3,174,NA,17,NA,17,NA,61,7,16,4,19,1,49,49,37,45,32,NA,154,102,7,367,14,603,9,1,NA,1,2,NA,NA,8,11,4,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,13,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35430,36580,34405,750,22,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,8,1,2,NA,3,2,18,NA,2,NA,6,8,7,NA,1,NA,NA,NA,NA,2,NA,3,NA,2,111,NA,7,NA,4,NA,17,1,18,7,5,1,46,26,18,9,5,NA,116,37,3,221,11,139,NA,1,NA,1,NA,NA,1,8,7,6,2,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,1,16,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36166,37354,35109,765,20,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,1,1,NA,4,1,2,1,3,NA,NA,NA,24,NA,NA,NA,NA,1,NA,NA,3,NA,NA,1,36,1,1,NA,136,NA,10,NA,3,5,49,1,5,NA,120,43,6,1,17,203,9,106,8,255,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36657,37869,35578,775,22,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,1,NA,NA,1,16,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,20,NA,1,NA,201,NA,4,1,5,2,35,1,3,NA,117,33,2,NA,14,187,10,28,NA,185,2,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37148,38385,36046,785,39,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,3,10,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,44,NA,11,NA,14,NA,12,1,6,2,4,NA,35,21,3,1,4,NA,163,60,2,74,NA,42,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,17,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,20,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37492,38746,36374,792,38,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,31,5,1,NA,NA,13,11,5,NA,2,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,144,NA,15,NA,5,NA,44,3,9,NA,4,NA,120,69,6,3,14,NA,658,43,NA,177,NA,107,NA,NA,1,1,1,NA,NA,10,13,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,142,NA,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,20,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,237,9,NA,NA,NA,NA,136,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38130,39417,36983,805,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,20,NA,NA,NA,84,NA,8,NA,2,1,9,NA,8,NA,24,4,NA,NA,38,350,1,54,2,46,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38867,40190,37686,820,38,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,1,4,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,26,NA,1,NA,44,NA,5,4,2,5,29,NA,3,2,61,13,NA,NA,4,131,2,53,13,102,1,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39358,40706,38154,830,61,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,4,NA,2,NA,1,4,7,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,53,NA,2,NA,73,NA,18,1,3,2,11,NA,13,5,24,12,3,NA,46,312,2,112,25,186,2,1,NA,NA,2,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,39,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
39848,41222,38623,840,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,21,NA,NA,1,134,NA,10,2,4,2,14,NA,3,6,20,8,NA,NA,13,303,3,59,10,81,4,NA,1,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,37,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40339,41738,39091,850,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,NA,NA,NA,NA,4,3,NA,3,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,NA,1,NA,72,NA,5,NA,2,2,30,NA,1,1,110,16,NA,NA,2,192,3,16,NA,92,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
