"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Artemisia","Lamiaceae","Dipsacoideae","Olea","Ulmus","Cedrus","Castanea","Corylus","Cyperaceae","Malvaceae","Thalictrum","Hypericum","Alnus","Juglans","Juniperus","Rumex","Ranunculaceae","Polygonum","Cichorioideae","Sanguisorba","Quercus coccifera","Poaceae (Cerealia)","Equisetum","Brassicaceae","Plantago","Asteroideae","Caryophyllaceae","Ericaceae","Quercus cerris","Centaurea","Poaceae","Pinus","Iridaceae","Populus","Saxifraga","Elodea","Potamogeton","Typha","Scabiosa","Liliaceae","Lemna","Valerianoideae","Ephedra","Amaranthaceae","Fraxinus ornus","Fraxinus","Alismataceae","Apiaceae","Helianthemum","Pistacia","Nymphaea","Rosaceae","Carpinus orientalis","Rhamnus","Matthiola","Aegilops","Euphrasia","Cistus","Acer","Celtis","Butomus","Vitis","Cercis","Hydrocharis","Scrophulariaceae","Orobanchaceae","Ligustrum","Myriophyllum","Betula","Urticaceae","Salix","Tilia","Polygalaceae","Galium","Sagittaria","Sambucus","Fagopyrum","Euphorbiaceae","Campanulaceae","Fumaria","Papaveraceae","Cerastium","Arceuthobium","Platanus","Boraginaceae","Humulus"
2287.052,NA,NA,753,10,15,NA,NA,NA,NA,7,NA,NA,4,NA,NA,NA,NA,NA,37,NA,2,NA,11,NA,13,NA,NA,NA,15,36,14,9,4,16,63,178,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,5,NA,NA,NA,7,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2289.249,NA,NA,755,11,15,NA,NA,NA,NA,10,NA,NA,3,NA,NA,NA,NA,NA,31,NA,4,NA,8,1,17,NA,NA,NA,8,35,12,5,4,15,53,170,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,4,NA,NA,NA,4,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2292.543,NA,NA,758,9,16,NA,NA,NA,NA,9,NA,NA,4,NA,NA,NA,NA,NA,30,NA,5,NA,9,1,16,NA,NA,NA,9,13,13,6,1,16,51,169,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,4,NA,NA,NA,4,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2294.74,NA,NA,760,5,17,NA,NA,NA,NA,8,NA,NA,4,NA,4,NA,NA,NA,21,NA,4,NA,4,NA,16,NA,NA,NA,9,12,10,5,2,16,52,165,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,6,NA,NA,NA,5,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2296.937,NA,NA,762,4,14,NA,NA,NA,NA,5,NA,NA,5,NA,5,NA,NA,NA,22,1,4,NA,6,1,13,NA,NA,NA,15,26,10,NA,2,17,67,162,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2298.035,NA,NA,763,4,14,NA,NA,NA,NA,4,NA,NA,4,NA,5,NA,NA,NA,16,NA,4,NA,4,1,15,NA,NA,NA,9,11,9,1,4,11,61,138,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,4,NA,NA,1,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2299.133,NA,NA,764,2,2,NA,NA,NA,NA,4,NA,NA,81,NA,4,NA,NA,NA,16,1,32,2,2,1,10,NA,NA,NA,8,5,13,NA,4,12,15,135,NA,NA,NA,NA,NA,13,1,7,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2300.231,NA,NA,765,1,3,NA,NA,NA,NA,3,NA,NA,82,NA,3,NA,NA,NA,18,1,29,NA,1,1,14,NA,NA,NA,4,4,12,NA,5,13,19,133,1,NA,NA,NA,NA,13,NA,5,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2301.33,NA,NA,766,NA,1,NA,NA,NA,NA,2,NA,NA,77,NA,4,NA,NA,NA,17,4,15,NA,2,1,13,NA,NA,NA,4,5,7,NA,5,10,20,132,2,NA,NA,NA,NA,8,NA,12,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4
2302.428,NA,NA,767,NA,1,NA,NA,NA,NA,1,NA,NA,74,NA,4,NA,NA,NA,16,3,16,NA,4,1,17,NA,NA,NA,4,5,9,1,4,9,22,129,1,NA,NA,NA,NA,10,NA,7,NA,NA,NA,4,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4
2303.526,NA,NA,768,1,15,NA,NA,NA,NA,2,NA,NA,4,NA,5,NA,NA,NA,30,3,3,NA,11,3,16,NA,NA,NA,8,20,19,1,1,9,76,105,NA,NA,NA,NA,NA,NA,1,5,NA,NA,4,10,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,3
2304.624,NA,NA,769,2,17,NA,NA,NA,NA,2,NA,NA,4,NA,4,NA,NA,NA,30,NA,3,NA,8,2,13,NA,NA,NA,8,19,18,2,1,7,74,106,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,7,NA,NA,NA,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3
2305.723,NA,NA,770,9,8,NA,NA,NA,NA,5,NA,NA,5,NA,4,NA,NA,NA,37,NA,5,NA,5,2,12,NA,NA,NA,4,12,9,5,NA,7,47,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2306.821,NA,NA,771,5,8,NA,NA,NA,NA,7,NA,NA,4,NA,4,NA,NA,NA,42,NA,4,NA,8,2,16,NA,NA,NA,4,13,10,9,1,7,48,177,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2307.919,NA,NA,772,5,5,NA,NA,NA,NA,8,NA,NA,4,NA,5,NA,NA,NA,41,NA,4,NA,10,2,15,NA,NA,NA,5,16,5,8,1,8,35,166,NA,NA,NA,NA,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2309.017,NA,NA,773,6,7,NA,NA,NA,NA,7,NA,NA,5,NA,7,NA,NA,NA,36,NA,3,NA,9,1,17,NA,NA,NA,9,21,8,7,2,8,32,163,NA,NA,NA,NA,NA,1,3,3,NA,NA,NA,1,NA,NA,NA,6,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2310.116,NA,NA,774,5,17,NA,NA,NA,NA,3,NA,NA,8,NA,7,NA,NA,NA,35,NA,4,NA,7,NA,16,NA,NA,NA,10,21,15,2,2,15,67,130,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,5,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2311.214,NA,NA,775,4,18,NA,NA,NA,NA,5,NA,NA,7,NA,5,NA,1,NA,22,NA,4,NA,8,NA,15,NA,NA,NA,11,22,16,1,1,14,59,140,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,4,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2312.312,NA,NA,776,5,1,NA,NA,NA,4,6,NA,NA,71,NA,4,NA,2,NA,18,NA,29,NA,2,NA,10,NA,NA,NA,6,3,15,NA,12,11,25,141,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2
2313.41,NA,NA,777,4,2,NA,NA,NA,4,7,NA,NA,72,NA,1,NA,1,NA,16,NA,21,NA,2,NA,10,NA,NA,NA,5,4,14,1,15,14,35,140,NA,NA,NA,NA,NA,NA,1,12,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1
2314.509,NA,NA,778,2,2,NA,NA,NA,3,9,NA,NA,51,NA,NA,NA,1,NA,17,NA,26,NA,3,NA,12,NA,NA,NA,6,6,17,1,14,11,34,149,NA,NA,NA,NA,NA,NA,1,13,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,2
2315.607,NA,NA,779,4,2,NA,NA,NA,2,8,NA,NA,45,NA,2,NA,NA,NA,16,NA,22,NA,4,NA,11,NA,NA,NA,7,7,16,NA,15,12,39,150,NA,NA,NA,NA,NA,NA,1,12,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3
2316.705,NA,NA,780,5,2,NA,NA,NA,1,4,NA,NA,21,NA,4,NA,NA,NA,25,NA,16,NA,3,1,12,NA,NA,NA,7,3,10,NA,12,10,40,131,NA,NA,NA,NA,NA,NA,4,6,NA,1,NA,NA,NA,1,NA,1,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3
2317.803,NA,NA,781,6,2,NA,NA,NA,1,4,NA,NA,19,NA,4,NA,NA,NA,25,NA,15,NA,4,1,11,NA,NA,NA,9,4,16,NA,10,11,78,135,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,1,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2
2318.902,NA,NA,782,5,8,1,NA,NA,NA,3,NA,NA,8,NA,7,NA,NA,NA,36,1,4,NA,13,2,13,NA,NA,NA,11,20,17,NA,2,17,76,127,NA,NA,NA,NA,NA,NA,5,4,1,NA,NA,3,NA,NA,NA,5,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2320,NA,NA,783,4,9,1,NA,NA,NA,4,NA,NA,6,NA,6,NA,NA,NA,24,1,4,NA,12,1,15,NA,NA,NA,16,22,16,1,2,8,88,108,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,4,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2387.647,NA,NA,784,NA,2,3,NA,NA,5,NA,NA,NA,101,NA,2,NA,4,NA,21,1,22,NA,3,1,14,NA,NA,NA,8,5,4,1,8,5,31,88,NA,NA,NA,NA,NA,15,NA,10,5,NA,NA,NA,NA,3,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
2455.294,NA,NA,785,NA,1,6,NA,NA,6,1,NA,NA,106,NA,3,NA,4,NA,18,NA,17,NA,4,NA,11,NA,NA,NA,7,4,4,1,8,15,29,78,NA,1,NA,NA,NA,16,NA,11,5,NA,NA,NA,NA,2,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
2522.941,NA,NA,786,NA,3,5,NA,NA,3,2,NA,NA,72,NA,4,NA,3,NA,20,NA,16,NA,7,NA,12,NA,NA,3,11,11,8,2,6,13,35,96,NA,NA,NA,NA,NA,12,NA,10,2,NA,NA,NA,NA,2,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
2590.588,NA,NA,787,NA,4,4,NA,NA,4,1,NA,NA,75,NA,4,NA,1,NA,27,NA,18,NA,4,NA,11,NA,NA,NA,10,8,7,1,7,12,61,91,NA,1,NA,NA,NA,17,NA,9,2,NA,NA,NA,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
2658.235,NA,NA,788,2,6,4,NA,NA,4,4,NA,NA,31,NA,6,NA,2,NA,29,NA,5,NA,4,NA,11,NA,NA,NA,11,22,5,3,5,15,76,102,NA,2,NA,NA,NA,4,4,4,NA,NA,2,2,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
2725.882,NA,NA,789,1,8,4,NA,NA,4,3,NA,1,28,NA,4,NA,4,NA,21,NA,4,NA,6,NA,14,NA,NA,NA,10,25,6,3,5,8,81,98,NA,3,NA,NA,NA,3,5,6,NA,NA,1,3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA
2793.529,NA,NA,790,NA,4,10,NA,NA,11,NA,NA,2,76,NA,3,NA,15,NA,20,NA,18,NA,4,NA,13,NA,NA,NA,12,6,10,NA,4,11,51,47,NA,7,NA,NA,NA,6,3,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA
2861.177,NA,NA,791,NA,3,11,NA,NA,9,NA,NA,1,72,NA,3,NA,14,NA,19,NA,21,NA,5,NA,16,NA,NA,NA,9,6,11,NA,5,12,52,51,NA,7,NA,NA,NA,11,4,12,4,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,4,3,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA
2928.823,NA,NA,792,NA,3,4,NA,NA,9,1,NA,NA,92,NA,NA,NA,7,NA,27,NA,30,NA,2,NA,13,NA,NA,NA,10,5,7,NA,4,10,62,61,NA,5,NA,NA,NA,9,NA,10,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
2996.471,NA,NA,793,1,4,6,NA,NA,9,1,NA,NA,52,NA,4,NA,7,NA,25,NA,24,NA,4,NA,14,NA,NA,NA,10,6,8,NA,5,12,72,68,NA,4,NA,NA,NA,4,7,9,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
3064.118,NA,NA,794,1,7,6,NA,NA,8,NA,NA,NA,62,NA,4,NA,3,NA,31,NA,7,NA,5,NA,18,NA,NA,NA,12,6,5,NA,5,10,61,60,NA,5,NA,NA,NA,11,9,11,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3131.765,NA,NA,795,1,9,4,NA,NA,5,NA,NA,NA,51,NA,6,NA,4,NA,36,NA,4,NA,6,NA,20,NA,NA,NA,11,10,7,NA,6,8,79,58,NA,4,NA,NA,NA,4,8,9,NA,NA,NA,5,NA,3,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
3199.412,NA,NA,796,NA,1,3,NA,NA,6,NA,NA,NA,81,NA,3,NA,10,NA,20,NA,22,NA,3,NA,15,NA,NA,NA,5,5,5,NA,11,10,60,62,NA,4,NA,NA,NA,18,2,3,NA,NA,NA,2,NA,7,11,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,3,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
3267.059,NA,NA,797,NA,1,4,NA,NA,7,NA,NA,NA,92,NA,1,NA,11,NA,18,NA,24,NA,3,NA,12,NA,NA,NA,7,4,4,NA,12,9,55,75,NA,5,NA,NA,NA,20,1,5,NA,NA,NA,1,NA,7,10,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,NA,5,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
3334.706,NA,NA,798,NA,2,5,NA,NA,7,NA,NA,NA,77,NA,3,NA,8,NA,22,1,34,NA,3,NA,17,NA,2,NA,7,4,5,NA,9,7,52,71,NA,3,NA,NA,NA,21,NA,8,NA,NA,NA,1,NA,3,3,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3402.353,NA,NA,799,NA,1,6,NA,NA,5,NA,NA,NA,78,NA,1,NA,9,NA,19,NA,38,NA,4,NA,15,NA,1,NA,4,6,4,NA,10,9,49,78,NA,5,NA,NA,NA,29,NA,10,NA,NA,NA,1,NA,4,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
3470,NA,NA,800,NA,5,4,NA,NA,6,4,NA,NA,76,NA,1,NA,3,NA,37,NA,18,NA,6,NA,16,NA,NA,NA,3,9,11,NA,8,8,69,81,NA,4,NA,NA,NA,NA,1,10,NA,NA,NA,4,NA,4,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
