"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Chaetomium","Microthyrium-type","Mougeotia-type","Rivularia","Betula","Corylus","Papaver rhoeas-type","Verbascum pulverulentum-type","Tilletia caries-type","Thecaphora-type","Riccia lamellosa-type","Sordariaceae","Gloeotrichia","Centaurea","Bupleurum","Puccinia","Dyadosporites","Spike tablets","Quercus robur-type","Fusiformisporites","Pseudoschizaea","Typha angustifolia-type","Pluricellaesporites","Helianthemum","Asteroideae","Olea","Unknown (monolete)","Pinus pinaster-type","Amaranthaceae","Unknown","Lamiaceae (hexacolpate)","Erica arborea-type","Poaceae","Cichorioideae","Spirogyra-type","Zygnema-type","Cyperaceae","Quercus ilex-type","Pinus nigra-type","Glomus","Polyadosporites","Lycopodium","Atractylis","Alnus","Artemisia","Pistacia lentiscus","Asplenium-type","Gelasinospora","Teucrium","Anagallis arvensis","Pteridium aquilinum","Closterium idiosporum-type","Paronychia","Quercus cf. Q. suber","Nuphar","Potamogeton","Apium","Closterium idiosporum","Trichuris","Rubiaceae","Alchemilla","Bryophyta","Brassicaceae","Viburnum","Resedaceae","Cistus","Lythrum salicaria-type","Conium maculatum","Ulex-type","Malvaceae","Unknown (trilete)","Crassulaceae","Scrophularia canina-type","Ruta","Urticaceae","Rumex","Thalictrum","Vitis","Buxus","Blackstonia perfoliata-type","Ophioglossum","Lotus-type","Phillyrea","Dianthus","Rhamnus","Scabiosa","Sideritis (tetracolpate)","Salix","Cupressaceae-type","Ranunculus peltatus-type","Conium-type","Polypodium","Liliaceae","Fraxinus","Iris","Juglans","Arbutus","Cistus salviifolius","Coriaria myrtifolia","Hypericum","Myriophyllum spicatum","Sparganium","Allium","Potentilla-type","Erodium","Sorbus aucuparia-type","Lysimachia ephemerum","Agrimonia eupatoria","Equisetum","Sambucus nigra-type","Acer","Rhus coriaria","Fabaceae","Taxus","Polygala","Echinops","Pistacia terebinthus","cf. Adiantum","Pilularia","Hedera helix","Fraxinus angustifolia","Caryophyllaceae","Ilex","Polygonum aviculare-type","Ulmus","Thymelaeaceae","Lathyrus","Hydrocharis","Lycium-type","Isoëtes","Euphorbiaceae","Mercurialis","Epilobium","Lamiaceae (tricolpate)","Botryococcus","Trifolium-type","Transeauina","Gentianaceae","Ononis-type","Knautia","Nerium oleander","Sarcocapnos","Pellaea-type","Linum","Parnassia palustris","Rumex crispus-type","Botrychium","Nymphaea","Apiaceae","Sanguisorba","Scrophulariaceae","Anagallis tenella-type","Acaulon-type","Xanthium","Hypecoum","Erica multiflora-type","Galium aparine","Poaceae (Cerealia-type)","Convolvulus","Andropogon","Asphodelus fistulosus","Anchusa azurea","Alisma","Lemna","Ephedra fragilis","Typha latifolia-type","Tamarix","Anthyllis-type","Cerinthe-type","Portulaca oleracea-type","Myriophyllum verticillatum","Callitriche","Myosotis","Echium","Geraniaceae","Cedrus","Ephedra distachya/E. major subsp. major","Closterium cf. C. rostratum","Rosaceae","Rubus ulmifolius-type","Anchusa azurea-type","Myrtus","Asparagus-type","Myrica","Abies"
33563,33945,33223,213,"1","","","","","","1","","","","","","","","","","","","2, 12542","1","","","1","","","","1","3","6","1","7","1","11","32","","2","2","2","26","60","","","479","","","8","","","","","","","","","","","","3","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33636,34004,33311,214,"","1","","","","1","","","","","","","","","","","","","2, 12542","3","","","2","","","","","3","11","2","10","","6","14","","1","2","3","9","74","","","349","","","2","","","","","","","","","2","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33710,34064,33397,215,"1","","","","","","","","","","","","","","","","","","2, 12542","1","","","","","","1","","7","17","1","6","","2","21","","","2","1","21","69","","","218","","","16","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33784,34124,33482,216,"","","","","","","","","","","","","","","","","","","2, 12542","8","","","2","","3","","","5","16","6","16","3","17","38","","1","12","2","17","108","","","327","","","31","","8","","","","2","","","","","","6","","","","","2","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33857,34187,33568,217,"","","","","","1","","","","","","","","","","","","","2, 12542","4","","","1","","","1","","","37","1","16","","25","16","","","2","2","9","87","","","414","","","17","","","","","","","","","4","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33931,34248,33651,218,"","","","","","","1","","","","","1","","","","","","","2, 12542","13","","","1","","","1","","14","16","","8","6","11","16","","1","","","30","105","","","336","","","9","","","","3","","","","","","","","2","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34004,34311,33735,219,"1","","","","","","","","","","","","","","","","","","2, 12542","20","","","2","","","4","","6","22","","12","2","11","34","2","11","3","16","41","112","","","342","","","17","","","","","","","1","","","","","5","","","1","","","1","","","","","","","","2","","","","","","","","","","","","","","","","","","2","","","","","","","","1","","1","","3","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
34078,34371,33815,220,"1","","","","","","","","","","","","","","","","","","2, 12542","16","","","3","","","1","","1","27","3","7","","7","31","","6","7","6","44","75","","","449","","","11","","","","","","","","","2","","","26","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34151,34432,33895,221,"","","","","","","1","","","","","","","","","","","","2, 12542","15","","","4","","","","3","","17","","12","1","46","51","","1","1","6","23","70","16","","333","","","6","4","","","1","","","","","2","","","23","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","4","","","","","","","","1","","1","","6","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
34225,34495,33973,222,"1","","","","","","","","","","","","","","","","","","2, 12542","16","","","1","","","","2","12","13","2","6","","36","25","","2","4","6","19","54","2","","363","","","2","1","","","","","","","","1","","","8","","","","","","","","","","","","2","","","","","","","","1","","","","","","1","","","","","","1","","","","","","","","","","","","4","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34299,34560,34050,223,"","","","","","","1","","","","","","6","","","","","","2, 12542","17","10","","4","","","","2","18","17","3","13","","37","36","1","1","9","3","16","86","3","","374","","","2","1","","","","","","","","4","","","15","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","6","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
34372,34629,34128,224,"1","","","","","","1","","","","","","3","","","","","","2, 12542","6","","","2","","","6","2","21","4","1","11","","46","47","","6","8","12","23","69","","","302","","","3","2","","","","","","","","1","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","1","","","","","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","",""
34446,34703,34206,225,"","","","","","","","","","","","","","","","","","","2, 12542","8","","","1","","","11","","11","10","1","11","","41","27","","3","6","4","19","95","","","268","","","2","","","","","","","","","3","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","1","","6","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34519,34779,34283,226,"","","","","","","1","","","","","","","","","","","","2, 12542","5","3","","4","","2","4","5","6","2","2","3","4","37","51","","","","18","23","79","","","326","","","10","","","","","","","","","1","1","","16","","","","","","","","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34593,34856,34358,227,"1","1","","","","","1","","","","","","","","","","","3","2, 12542","9","3","","3","2","","1","3","5","4","","7","2","17","50","","2","11","9","21","118","4","","368","","","8","","","","","","","","","3","","","12","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","1","","","","3","","","","3","","","","","","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
34666,34936,34432,228,"1","","","","","","2","","","","","1","","","","","","","2, 12542","12","4","","2","","1","1","1","","2","3","6","","16","71","1","","5","16","15","67","3","","419","","","8","","","","","","","","","2","","","11","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","1","","","","","","1","","","","","","","","","","1","","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34740,35017,34504,229,"1","","","","","","","","","","","","2","","","","","3","2, 12542","3","","","6","","2","2","","4","15","2","8","5","14","56","","","3","8","8","137","4","","384","","","16","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
34814,35098,34572,230,"1","","","","","","1","","","","","","","","","","","","2, 12542","8","2","","2","","1","2","","3","20","2","3","4","16","36","","","2","12","15","102","8","","469","","","6","","","","","","","","","2","","","6","","","","","","1","","","","1","","","","","","","","","","","","","","","","3","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34856,35131,34611,231,"1","","","","","","","","","","","","","","","","","","2, 12542","2","","","1","","","1","","","18","1","8","","11","11","","","2","6","9","94","2","","354","","","3","","","","","","","","","1","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34899,35180,34643,232,"1","","","","","","","","","","","","","","","","","","2, 12542","2","","","2","","","4","","","2","1","4","","8","33","3","","11","6","9","82","3","","304","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34942,35235,34663,233,"1","","","","","","","","","","","","","","","","","","2, 12542","1","","","","","","3","","1","","1","11","3","5","18","2","","","3","6","222","3","","210","","","3","","","","","","","","","","","","45","","","","","","4","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34985,35292,34677,234,"1","","","","","","","","","","","","","","","","","","2, 12542","5","","","2","","","","","","43","1","6","","6","47","2","","","3","5","174","9","","294","","","2","","","","","","","","","","","","21","","","","","","1","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35027,35355,34690,235,"1","","","","","","","","","5","","","","","","","","","2, 12542","1","","","","","","","","","31","","3","","2","21","","","","1","3","155","","","284","","","","","","","","","","","","","","","9","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
35070,35424,34701,236,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","","","","","","","","3","6","","","26","2","","4","13","2","164","16","","249","","","14","","","","","","","","","","","","13","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35113,35496,34711,237,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","1","","5","","","","","8","5","2","","5","3","","","1","","139","13","","166","","","11","","","","","","","","","","","","11","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
35156,35572,34720,238,"2","","","","","","","","","","","1","","","","","","","2, 12542","2","","","2","","","6","","","13","1","11","2","3","28","3","","3","4","3","85","16","","221","","","3","","","","","","","","","1","","","7","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35198,35650,34728,239,"1","","","","","","","2","","","","","","","","","","","2, 12542","4","","","2","","","","","1","","2","16","","3","26","2","","2","3","14","164","5","","256","","","6","","","","","","","","","","","","8","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35241,35730,34734,240,"1","","","","","","","","","","","","","","","","","","2, 12542","3","","","3","","1","","","2","","1","11","","3","10","2","","3","4","2","117","11","","312","","","3","","","","","","","","","","","","3","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35284,35810,34739,241,"2","","","","","","","","","","","","","","","","","","2, 12542","","","","","","6","","","","9","","4","","1","21","","","","11","2","138","","","235","","","13","","","","","","","2","","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
35327,35893,34745,242,"2","","","","","","","","","","","","","","","","","","2, 12542","","","","2","","9","","","","","","6","","","22","1","","","6","","125","9","","246","","","11","","","","","","","","","","","","5","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35369,35976,34748,243,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","","","1","","","","","1","7","","","8","","","","5","","95","16","","152","","","6","","","","","","","2","","","","","3","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35412,36060,34752,244,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","","","3","","","","","2","6","","","6","2","","","6","","109","22","","232","","","4","","","","","","","","","","","","4","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35455,36145,34755,245,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","","","","","","","","","5","","","6","","","","1","","104","13","","227","","","3","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35498,36230,34757,246,"1","","","","","","","","","","","1","","","","","","","2, 12542","","","","","","2","3","","","4","","7","","1","13","","","","9","","124","4","","158","","","3","","","","","","","1","","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35540,36317,34760,247,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","","","1","1","","","13","1","6","","","31","1","","","6","","119","1","","179","","","11","","","","","","","","","","","","43","","","","","","4","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35583,36403,34761,248,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","","","1","","","","","1","7","","","38","1","","","11","","118","8","","139","","","2","","","","","","","1","","","","","46","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35626,36491,34763,249,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","","","","","","6","20","","13","","","56","","","","3","","131","8","","157","","","12","","","","","","","","","","","","59","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35669,36577,34763,250,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","","","","","","","","1","","2","","38","1","","","","","110","1","","209","","","14","","","","","","","","","","","","51","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
