Depth,Calendar years BP,Abies,Acer,Achillea/Anthemis-type,Agrostemma githago,Allium-type,Alnus,Amaranthaceae,Anagallis arvensis,Anagallis tenella,Anemone nemorosa-type,Angiospermae undiff. (herbs),Apiaceae undiff.,Armeria,Artemisia,Asphodelus-type,Asteraceae undiff.,Betula,Bistorta officinalis-type,Boraginaceae undiff.,Brassicaceae,Bryophyta undiff.spore,Bupleurum-type,Buxus,Calligonum-type,Campanulaceae,Carpinus betulus,Caryophyllaceae undiff.,Castanea,Cedrus,Celtis,Centaurea cf. C. cyanus/montana-type,Centaurea scabiosa,Centaurea solstitialis-type,Ceratophyllum,Cichorioideae,Cirsium,Cladium,Clusiaceae/Hypericaceae cf. Hypericum,Consolida ambigua-type,Cornaceae,Corylus,Cupressaceae-type,Cyperaceae undiff.,Digitalis-type,Dipsacoideae,Dryopterisspore,Echium-type,Ephedra distachya,Ephedra fragilis-type,Epilobium,Equisetumspore,Ericaceae,Euonymus europaeus,Fabaceae undiff.,Fagus,Filipendula,Fraxinus excelsior-type,Fraxinus ornus,Fraxinus undiff.,Fritillaria-type,Fumana,Galium-type,Geranium,Hedera,Helianthemum,Helleborus foetidus,Helleborus viridis,Hippophaë,Humulus/Cannabis,Ilex,Indeterminable (broken)/spore,Indeterminable (concealed)/spore,Indeterminable (crumpled)/spore,Indeterminable (degraded)/spore,Juglans,Larix,Lemnoideae,Liliaceae,Linum,Lithospermum,Lonicera,Lotus,Malvaceae undiff.,Marrubium-type,Mentha-type,Menyanthes,Myriophyllum alterniflorum,Myriophyllum spicatum-type,Myriophyllum undiff.,Myriophyllum verticillatum,Nuphar,Nymphaea,Olea,Ononis,Ostrya,Oxyria-type,Papaveraceae,Pedicularis,Persicaria amphibia,Persicaria maculosa-type,Persicaria undiff.,Phillyrea,Picea,Pinus subg. Strobus,Pinus undiff.,Pistacia,Plantago,Poaceae (Cerealia-type),Poaceae undiff.,Polypodiophyta undiff.spore,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Primulaceae undiff.,Prunus spinosa,Pteridiumspore,Pterocarya,Quercus ilex,Quercus undiff.,Ranunculus,Resedaceae,Rhamnaceae,Rosaceae cf. Geum,Rosaceae undiff.,Rumex,Salix,Sambucus,Sanguisorba officinalis,Saxifragaceae,Scilla-type,Scrophulariaceae,Scutellaria-type,Serratula-type,Solidago-type,Sorbus,Spermatophyta undiff. (trees/shrubs),Sphagnumspore,Tamarix,Taxus,Thalictrum,Thymelaeaceae cf. Daphne,Tilia,Trifolium-type,Typha angustifolia,Typha latifolia,Ulmus,Unknown (monolete)spore,Unknown (trilete)spore,Unknown undiff./spore,Urtica-type,Valeriana,Veronica-type,Viburnum,Vicia,Viola palustris-type,Viscum,Vitis,cf. Alchemilla,cf. Androsace,cf. Callitriche,cf. Centaurium,cf. Chrysosplenium,cf. Circaea,cf. Daphne,cf. Elatine,cf. Epilobium,cf. Euphorbia,cf. Frangula/Bruckenthalia,cf. Helianthemum,cf. Larixpalynomorph,cf. Mentha,cf. Mercurialis,cf. Myrica,cf. Onobrychis-type,cf. Platanus,cf. Rutaceae,cf. Sambucus,cf. Samolus valerandi,cf. Sedum,cf. Trichomanesspore
7378,--/106849/--,17,,,,,39,6,,,,,1,,7,2,,8,,,,,,,,,12,,,,,,,1,,1,,,,,,4,,1,,,,,,,,,,,,8,,,,1,,,1,,,,,,,,,2,,2,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,10,,,,37,,,,,,,,,2,,28,166,,,,,,1,,,,,,,,,,,,,,,1,,1,,4,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7382.2,--/106934/--,40,1,1,,,47,1,,,,,2,,8,,,5,,,3,,,,,,14,3,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,8,,,,,,,3,,,,,,,,,1,,2,1,,,,,,,,,,,,,,4,,,,,,,6,,,,,,,,,,31,,1,,36,,,,,,,,,1,,21,241,,,,,1,2,,,,,,,,,,,,,,,2,,1,,3,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7404.2,--/107377/--,18,1,2,,,48,9,,,,,6,,29,,,80,,,1,,,,,,3,1,,,,,,2,,9,4,,,,,1,1,5,,,,,2,1,,,,,,13,,,,,,,4,,,,,,,,,3,,7,2,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,1,,69,,5,,198,,,,,1,,,,1,,,248,,,,,,1,1,,,,,,,,1,,,,,,6,,3,,14,,8,,,3,2,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
7416,--/107544/--,3,,1,,,20,12,,,,,4,,30,,,45,,,1,,,,,,6,3,,,,,1,,,1,,,,,,3,3,3,,,,,4,3,,,,,,5,,,,,,,5,,,,,,,,,3,,4,1,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,22,,,,101,,,,,,,,,,,5,77,,,,,,,3,,,,,,,,1,,,,,,5,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7417.3,--/107579/--,21,,2,,,10,7,,,,,4,,46,,,178,,,3,,,,,,5,1,1,,,,1,2,,,1,,,,,1,2,4,,,,,,4,,,,,,9,1,,,,,,5,,,,,,,,,2,1,7,2,1,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,1,,53,,,,150,,,,,,,,,,,4,101,2,,,,,2,1,,,1,,,,,,,,,,,1,,1,,1,,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
7427,--/107673/--,7,,2,,,25,8,,,,,11,,30,,,71,,,2,,,1,,,5,1,,,,,,2,,4,,,,,,1,,8,,,,,1,7,,,2,,,7,,,,,,,6,,,1,,,,1,,1,,6,2,,,,,,,,,,,,,,1,,1,,,,,7,,,,,,,,,,29,,,,120,,,,,,,,,1,,2,104,1,,,,1,1,,,,,,1,,,,,,,,,5,,,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7436.3,--/107805/--,2,,,,,11,15,,,,,3,,22,,,33,,,,,,,,,2,,,,,,2,1,,1,1,,,,1,1,5,7,,,,,,3,,,,,,7,,,,,,,4,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,31,,,,103,,,,,,,,,,,3,39,,,,,,1,1,,,,,,,,,,,,,,1,,1,,1,,1,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7439,--/107824/--,13,,3,,,28,8,,,,,13,,46,,,94,,,2,,,1,,,3,8,,,,,,,,4,,,,,,,1,10,,,,,2,12,,,,,,6,2,,,,,,5,1,,1,,,,1,,3,,3,4,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,40,,,,155,,,,,,,,,,,4,105,,,,,1,2,,,,,,2,,,2,,,,,,6,,,,4,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7445.7,--/107906/--,6,,1,,,12,18,,,,,7,,60,,,44,,,1,,,,,,1,2,,,,,,,,2,,,,,,1,8,4,,,,,2,6,,,,,,4,,,,,,,10,,,2,,,,,,3,,6,,,,,,,,,,,,,,,2,,,,,,,5,,,,,,,,1,,26,,,,170,,,,,,,,,,,1,55,1,,,,,1,,,,,1,,,,,,,,,,6,,,1,8,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7455.8,--/107988/--,12,1,1,,,15,12,,,,,1,,40,,,26,,,3,,,,,,2,1,,,,,,,,3,1,,,,,,2,,,,,,,4,,,1,,,5,1,,,1,,,6,1,,,,,,,,3,,5,4,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,1,,29,,1,,93,,,,,,,,,,,5,69,,,,,,1,,,,1,,,,,,,,,,,,,,,5,1,4,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
7460.5,--/108039/--,2,,3,,,8,12,,,,,4,,46,,,62,,,1,,,,,,2,3,,,,,,1,,4,,,,,,,1,8,,,,,1,6,,,,,,1,,,,,,,4,,,,,,,,,4,,3,5,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,26,,2,,101,,,,1,,,,,,,1,92,,,,,,1,,,,1,,,,,,,,,,,1,,,,5,1,2,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7464.1,--/108058/--,9,,4,,,9,13,,,,,5,,69,,,56,,,2,,,,,,2,4,1,,,,,,,3,,,,,,1,1,13,,,,,2,5,,,,,,5,,,,,,,4,,,,,,,,,4,,8,4,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,19,,2,,107,,,,,,,,,,,2,105,,,,,,1,,,,,,,,,,,,,,,,,1,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7477.1,--/108127/--,10,1,5,,,29,7,,,,,6,,49,,,10,,,2,,,1,,,5,8,,,,,,,,2,1,,,,,1,,7,,,,,1,3,,,1,,,4,,,,,,,12,,1,,,,,,,1,,5,,,,,,,,,,,,,,,2,,1,,,,,7,,,,,,,,,,27,,2,,126,,,1,,1,,,,1,,5,84,,,,,,1,,,,,,,,,1,,,,,,,,1,,2,1,2,1,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7480.9,--/108148/--,28,4,5,,,45,4,,,1,,6,,27,,,13,,,3,,,,,,3,2,,,,,,,,4,,,,,,,2,4,,,,,,,,1,,,,5,,,,2,,,2,,,,,,,,1,2,,5,1,,,,,,1,,,,,,,,,,,,,,,12,,,,,,,,,,8,,,,50,,1,,,,,,,1,,5,91,,,,,,1,,,,,,,,,3,,,,,,1,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7482,--/108148.1/--,19,,2,,,22,3,,,,,1,,19,,,11,,,,,,,,,8,,,,,,,,,6,1,,,,,,2,1,,,,,,,,,,,,5,,,,1,,,,,,,,,,,,2,2,6,2,,,,,,,,,,,,,,1,,,,,,,7,,,,,,,,,,2,,,,20,,,,,,,,,,,9,50,,,,,,,,,,,,,,,2,,,,,,,,,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495.3,--/108166/--,17,1,3,,,63,5,,,,,11,,29,,,13,,,6,,,,,,18,3,,,,,,1,,2,1,,,,,2,3,5,,,,,1,5,,1,1,,,10,,,,,,,5,,,,,,,,1,2,,4,1,,,,,,,,,,,,,,,,,,,1,,17,,,,,,,,,,19,,,,103,,,1,,,,,,1,,1,140,,,,,,1,,,,,,,,,2,,,,,,,,2,,4,,12,2,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
7733,--/108425/--,22,1,3,,,65,7,,,,,11,,60,,,7,,,2,,,2,,,5,3,,,,1,1,,,4,,,,,,2,2,6,,,,,2,6,,5,,,,4,,,,,,,11,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,18,,,,142,,,1,2,,,,,1,,4,163,,,,,1,2,2,,,,,,,,1,,,,,,3,,2,,7,2,6,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
7753.6,--/108425.1/--,14,,2,,,33,1,,,,,3,,28,,,11,,,1,,,1,,,7,5,,,,,,,,,,,,,,1,1,2,,,,,,1,,5,,,,2,,,,,,,5,,1,,,,,,1,1,,5,1,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,15,,1,,71,,,,,,,,,,,1,100,,,,,,,,,,,,,,,1,,,,,,,,1,,2,,1,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7772.3,--/108425.2/--,25,1,7,,,44,4,,,,,11,,49,,,16,,,7,,,,,,7,1,,,,,,2,,1,,,,,,,2,5,,,,,1,2,,3,1,,,3,,,,,,,10,,1,,,,,,,2,,5,1,,,,,,,,,,,,,,1,,,,,1,,8,,,,,,,,,,32,,,,141,,1,,,,,,,,,1,106,,,,,,1,2,,,,,,,,3,,,,,,4,,,,8,1,6,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7780.7,--/108425.3/--,17,1,3,,,25,17,,,,,11,,34,,,18,,,2,,,,,,9,,,,,,,,,4,,,,,,,4,5,,,,,1,2,,1,,,,4,,,,,,,10,,1,,,,,,,,,1,2,,,,,,,,,,,,,,2,,,,,1,,10,,,,,,,1,,,32,1,1,,98,,,,,,,,,2,,4,80,,,1,,1,1,1,,,,1,2,,,2,,,,,,2,,2,,7,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7788,--/108440/--,13,1,2,,,13,10,,,,,12,,45,,,17,,,2,,,,,,1,6,,,,,,2,,3,1,,,,,,2,10,,,,,,7,,1,,,,6,,,,,,,11,,,,,,,,,8,,12,2,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,41,,,,149,,1,,,,,,,,,,51,6,,,,,,1,,,1,2,,,,1,,,,,,2,,,,11,3,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7792.2,--/108454/--,9,,,,,26,4,,,,,8,,7,1,,2,,,,,,1,,,34,6,,,,,,,,,,,,,,3,1,3,,,,,,1,,6,2,,,5,1,,,1,,,,,,,,,,,,3,,3,1,1,,,,,,,,,,,,,,,,,,2,,61,,,,,,,1,,,17,,2,,46,,1,,,,,,,2,,17,308,1,,,,,3,1,3,,,,2,,,3,,,,,,4,,,,2,,19,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
7796.5,--/108468/--,19,,6,,,18,13,,,,,10,,52,,,24,,,1,,,,,,2,5,,,,,,5,,8,1,,,,,3,2,4,,,,,1,9,,,,,,8,,,,,,,4,,1,,,,,,,3,,4,3,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,33,,2,,106,,,,,1,,,,,,3,84,,,,,,,,,,,,,,,3,,,,,,2,,,,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7798,--/108491/--,9,1,3,,,14,7,,,,,5,,51,,,21,,,1,,,,,,,1,,,,,,1,,,1,,,,,,7,2,,,,,,2,,1,,,,4,,,,,,,5,,,,,,,,,5,,5,3,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,1,,,21,,,,123,,1,,1,,,,,,,,33,1,,,,1,,,,,,,,,,1,,,,,,2,,1,,,,4,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7807.5,--/108491.1/--,30,,1,,,26,4,,,,,2,,34,,,10,,,2,,,1,,,4,18,,,,,,1,,2,1,,,,,,,5,,,,,1,2,,4,1,,,4,,,,,,,7,,,2,,,1,,,1,,6,6,,,,,,,,,,,,,,1,,,,,,,10,,,,1,,,,,,50,1,,,185,,,,1,,,,,,,1,108,2,,,,,1,,,,,,,,,1,,,,1,,1,,,,,,6,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7811.9,--/108543/--,30,2,,,,49,12,,,,,9,,49,,,22,,,1,,,,,,5,9,,,,,,2,,2,1,,,,,,2,2,,,,,1,3,,4,,,,3,,,,1,,,9,,,,,,,,,4,,5,2,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,45,,,,111,,,,,,,,,1,,3,169,2,,,,,,,,,,1,,,,,,,,,,2,,4,,4,1,5,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
7814.8,--/108566/--,6,1,1,,,13,2,,,,,3,,27,,,10,,,2,,,,,,,,,,,,,,,2,1,,,,,,1,2,,,,,1,2,,,,,,2,,,,,,,5,,,,,,,,,2,1,8,2,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,23,,1,,41,,,,1,,,,,,,4,48,,,,,,1,,,,,,,,,2,,,,,,,,1,,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7819,--/108610/--,41,,2,,,57,5,,,,,,,47,,,13,,,1,,2,,,,4,3,,,,,,,,1,,,,,,2,,4,,,,,5,3,,,,,,6,,,,,,,5,,,,,,,,,7,,6,3,,,,,,,,,,,,,,1,,1,,,,,5,,,,,,,2,,,30,,,,93,,,,,,1,,,1,,5,66,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7822.3,--/108677/--,16,2,2,,,32,17,,,,,9,,46,,,44,,,1,,,2,,,10,4,,,,,,1,,2,,,,,,1,4,,,,,,,4,,4,1,,,4,,,,,,,9,,,1,,,,,,2,1,5,3,,,,,,,,,,,,,,,,2,,,,,8,,,,,,,,,,33,,,,132,,,,4,,,,,,,2,94,3,,,,,,1,,,1,1,,,,,,,,,,1,,,,1,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7827,--/108757/--,10,,3,,,25,14,,,,,13,,51,,,22,,,3,,,,,,7,2,,,,,,,,6,,,,,,,3,2,,,,,,4,,,,,,2,,,,,,,9,,1,,,,,,,3,,5,3,,,,,,1,,,,,,,,,,,,,1,,4,,,,,,,,,,19,,1,,129,,,,,,,,,,,,55,1,,,,1,,,,,,,,,,1,,,,,,1,,,,2,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7829.6,--/108824/--,16,,7,,,49,11,,,,,5,,35,,,20,,,1,,2,,,,3,2,,,,,1,1,,3,,,,,,1,2,1,,,,,1,2,,,,,,10,,,,,,,2,,,,,,,1,,4,,4,3,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,2,,28,,,,117,,,,,,,,,1,,3,99,1,,,,,,,1,,,,,,,,,,,,1,1,,,,,2,4,3,3,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
7832.2,--/108824.1/--,57,1,6,,,79,6,,,,,6,,40,,,33,,,6,,,,,,7,5,,,,,,,,5,1,,,,,,2,2,,,,,1,2,,4,2,,,1,,,,,,,7,,,,,,,2,,2,,3,,,,,,,,,,,,,,,3,,,,,1,,16,,,,,,,,1,,33,,1,,139,,,,1,,,,,,,4,144,1,,,,,1,,,,,1,,,,1,,,,,,3,,2,,3,,10,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7853.9,--/108972/--,8,2,1,,,21,7,,,,,8,,38,,,19,,,2,,,,,,5,3,,,,,,1,,,1,,,,,3,3,3,,,,,,1,,,,,,3,,,,,,,1,,,,,,,,,1,,6,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,23,2,,,62,,,,,1,,,,1,,4,148,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7862.5,--/109025/--,8,,,,,25,20,,,,,4,,78,,,26,,,4,,,,,,4,5,1,,,,,1,,3,1,,,,,,,2,,,,,1,1,,,2,,,2,,,,,,,15,,,3,,,,,,5,1,4,2,,,,,,,,,,,,,1,2,,,,,,,11,,,,,,,,,,23,,,,125,,1,,1,,,,,,,5,112,1,,,,2,,1,1,,,,,,,2,,,,,,,,,,,1,7,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7869.8,--/109041/--,20,,3,,,94,9,,,,,3,,21,,,28,,,,,,,,,7,,,,,,,1,,,,,,,,1,2,3,,,,,2,2,,,,,,2,,,,,,,3,,1,,,,,,,1,,9,4,,,,,,,,,,,,,,4,,,,,,,9,,,,,,,,1,,18,,,,45,,,,,,,,,,,14,59,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,5,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7872.1,--/109052/--,41,,,,,63,3,,,,,2,,15,1,,22,,,4,,,,,,17,4,,,,,,,,,,,,,,,1,1,,,,,,,,3,4,,,9,,,,,,,2,,,,,,,,1,2,,6,1,,,,,,,,,,,,,,1,,,,,,,37,,,,,,,1,,,20,,4,,54,,1,,,,,,,3,,5,291,,,,,,1,,,,,,,,,1,,,,,,1,,3,,1,,12,1,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7876.7,--/109064/--,17,,4,,,68,6,,,,,14,,64,,,58,,,,,,,,,7,,,,,,,3,,1,,,,,,,,1,,,,,1,,,,,,,8,,,,1,,,11,,1,,,,,,,,,3,2,,,,,,,,,,,,,,7,,,,,,,1,,,,,,,1,,,17,1,,,128,,,,1,1,,,,,,4,101,1,,,,1,,2,,,,,,,,,,,,,,1,,1,,1,1,6,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7879.2,--/109070/--,38,,3,,,76,11,,,,,,,30,,,21,,,2,,,,,1,2,,,,,,,1,,1,2,,,,,,1,2,,,,,,1,,1,,,,2,,,,,,,4,,2,,,,,,,2,,2,1,,,,,,,,,,,,,,1,,,,,,,9,,,,,,,,2,,29,,,,104,,,,3,,,,,,,4,83,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,9,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7890.8,--/109105/--,42,,5,,,68,2,,,,,1,,23,,,25,,,1,,,1,,,6,1,,,,,,2,,3,,,,,,1,1,3,,,,,1,,,1,,,,,,,,,,,11,,,1,,,,,,2,1,4,2,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,11,,,,66,,,,2,,,,,,,2,104,1,,,,,,1,,,,,,,,,,,,,,,,,,2,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7893.1,--/109116/--,20,,3,,,91,8,,,,,8,,62,,,50,,,6,,,,,,18,3,,,,,,1,,3,1,,1,,,1,,3,,,,,2,3,,3,1,,,9,,,,,,,8,,1,,,,,,,,,6,2,,,,,,,,,,,,,,1,,,,,,,14,,,,,,,1,,,19,,,,107,,,,1,,,,,1,,1,178,,,1,,,,1,,,,,,,,2,,,1,,,,,5,,2,,13,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7901.4,--/109144/--,34,,2,,,45,1,,,,,,,13,,,21,,,,,,,,,7,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,3,,,,,,,1,,,,,,,,1,2,,7,2,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,,2,,7,,1,,30,,,,,,,,,,,9,67,,,,,1,,,,,,,,,,,,,,,,,,1,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7906.5,--/109159/--,176,1,1,,,50,,,,,,,,8,,,8,,,1,,,,,,8,1,,,,,,3,,1,,,,,,1,,1,,,,,,,,,1,,,13,,,,,,,,,,,,,,,,5,,1,2,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,2,,19,,,,24,,,,,,,,,,,2,98,,,,,,,2,,,,,,,,,,,,,,,,2,,,,15,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7908.3,--/109161/--,36,1,2,,,67,3,,,,,1,,15,,,20,,,2,,,1,,,4,,,,,,,1,,,,,,,,3,2,,,,,,,1,,,4,,,1,,,,,,,2,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,13,,1,,53,,1,,,,,,,,,10,74,,,,,,1,,,,,,,,,,,,,,,,,3,,,,8,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7910.8,--/109172/--,39,1,1,,,124,2,,,,,1,,10,,,18,,,1,,,,,,8,2,,,,,,2,,,,,,,,,3,,,,,,1,,,1,1,,,6,1,,,,,,,,1,,,,,1,,,,5,3,,,,,,,,,,,,,,,,,,,1,,7,,,,,,,,,,17,,,,54,,,,,,,,,1,,6,131,1,,,,,,,,,,,1,,,,,,,,,,,2,,3,,9,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
7912.5,--/109174/--,54,2,,,,90,3,,,,,5,,12,,,26,,,1,,,,,,16,4,,,,,,,,1,,,,,,,4,3,,,,,,2,,2,1,,,13,,,,,,,1,,1,,,,,1,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,18,,2,,38,,,,,,,,,,,10,202,,,,,,1,,,,,,,,,1,,,1,,,,,5,,2,,21,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7931.5,--/109228/--,51,2,3,,,91,,,,,,5,,21,1,,20,,,3,,,,,,3,3,1,,,,1,,,2,1,,,,,,1,2,,,,,,2,,2,1,,,7,,,,,,,,,2,,,,,,,3,,8,2,,,,,,,,,,,,,,,,1,,,,,13,,,,,1,,,,,21,,2,,36,,,,,,,,,,,3,77,,,,,,2,2,,,,,,,,,,,,,,1,,3,,1,1,1,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7934.4,--/109237/--,97,1,1,,,76,3,,,,,1,,10,,,13,,,1,,,,,,3,1,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,7,,,,,,,2,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,9,1,,,48,,,,,,,,,,,2,96,,,,,,,,,,,,,,,,,,,,,,,1,,,,8,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7941,--/109266/--,39,,,,,32,,,,,,1,,6,,,9,,,,,,,,,2,1,,,,,,,,1,,,,,,,2,1,,,,,,,,1,1,,,7,,,,,,,,,,,,,,,,3,,5,1,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,5,,,,14,,1,,,,,,,,,2,45,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
7941.1,--/109267/--,62,,2,,,113,5,,,,,11,,51,,,48,,,2,,,,,,7,,,,,,,1,,,,,,,,,1,1,,,,,,,,8,2,,,1,,,,,,,8,,2,,,,,,,1,,3,6,,,,,,,,,,,,,,1,,,,,1,,17,,,,,,,,,,20,,1,,84,,,,,,,,,,,2,125,,,,,,,1,,,,,,,,2,,,,,,1,,2,,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7944.4,--/109274/--,20,,2,,,26,4,,,,,1,,8,,,6,,,,,,,,,5,2,,,,,,1,,,,,,,,1,4,,,,,,,,,,,,,2,,,,,,,1,1,,,,,,,,3,1,3,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,11,,,,31,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7950.7,--/109308/--,25,1,,,,33,3,,,,,,,6,,,15,,,,,1,1,,,2,1,,,,,,1,,2,,,,,,,2,1,,,,,,1,,,,,,4,,,,,,,2,,,2,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,6,,,,34,,,,,,,,,,,,29,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7953.1,--/109328/--,62,1,4,,,80,8,,,,,7,,42,,,42,,,4,,,,,,6,10,,,,,,,,6,1,,,,,1,4,,,,,,3,2,,,,,,13,,,,,,,17,,,,,,,,,3,,6,,,,,,,,,,,,,,,1,,1,,,,,5,,,,,,,1,1,,34,,,,71,,,,1,,,,,,,,100,2,,,,,1,1,,,,,,,,,,,,,,3,,2,,1,,8,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7959.3,--/109368/--,17,,1,,,17,2,,,,,3,,9,,,19,,,1,,,,,,4,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,4,,,,,,,2,,,1,,,,,,1,,3,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,11,,,,31,,,,,,,,,,,,41,,,,,1,,,,,,,,,,,,,,,,,,4,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
