Depth,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,EPDRadiocarbon years BP,FossilvaRadiocarbon years BP,Abies,Acer,Achillea,Allium,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Carpinus,Caryophyllaceae,Centaurea montana,Centaurea nigra,Centaurea scabiosa,Cichorioideae,Cirsium,Corylus,Cyperaceae,Dryopterisspore,Ephedra distachya,Ephedra fragilis,Fagus,Fraxinus excelsior,Fraxinus ornus,Galium,Hedera,Helianthemum,Hippophaë,Indeterminable undiff./spore,Juniperus,Olea,Ostrya,Picea,Pinus,Pistacia,Plantago lanceolata,Plantago undiff.,Poaceae,Poaceae (Cerealia-type),Poterium sanguisorba,Pteridiumspore,Quercus,Rhamnaceae,Rumex,Salix,Taxus,Thalictrum,Tilia,Ulmus,Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Viburnum,Vitis
1200,42130/34531/26944,--/29826/--,--/23614/--,1,,2,,4,12,2,50,1,,,,1,2,,,,,1,,1,,1,,2,,,2,1,4,,3,79,,1,1,31,,,2,134,,,,8,,2,,,2,,,,,,,
1220,43214/35326/27454,--/30113/--,--/23960/--,,,5,,,1,40,,1,2,,,,5,1,,,2,,,,,,,2,,,4,,2,3,5,65,,,,18,,2,3,84,,,,5,,,,,4,,,,,,,
1240,44299/36121/27964,--/30397/--,--/24305/--,,1,1,,,2,13,24,1,7,1,,,4,,,,1,1,,8,,,1,4,,,9,,,3,3,81,,,2,29,,,2,119,,,,6,,1,4,,8,,,2,1,,,
1260,45382/36917/28473,--/30680/--,--/24651/--,1,,7,,1,26,8,105,2,,1,,,2,1,,,5,,,2,,,1,,,,5,,8,1,2,5,,,2,13,,,7,143,,,,,,5,3,,,,,,,2,,
1290,47009/38109/29237,--/31100/--,--/25170/--,1,,4,,2,16,3,86,,1,2,,,3,,,,1,1,,6,,,,2,,,2,,3,,,33,,,,8,,,1,103,,,,1,,1,1,,2,,,2,,1,,
1300,47551/38507/29491,--/31239/--,--/25343/--,6,,3,,5,39,4,91,,2,,,1,4,1,,,2,2,,4,,,1,3,,,1,,,1,1,25,,,2,17,,,,103,,,,7,,2,,,4,,1,4,,1,,
1320,48635/39302/30000,--/31516/--,--/25688/--,1,,7,,,8,4,67,3,,,,,5,,1,,4,4,,1,,2,1,1,,,2,,6,,,14,,,1,34,,,2,145,,,,4,1,2,,,,,,,1,1,,
1340,49719/40098/30508,--/31791/--,--/26034/--,2,,4,1,,13,2,50,,2,3,,,7,,,,3,,,1,,2,,1,,,1,,3,4,4,66,,,2,25,,2,6,10,,,,1,,2,,,,,1,,,1,,
1355,50532/40694/30890,--/31996/--,--/26934/--,3,,11,,2,21,,51,1,,,,1,5,,2,,3,,,1,,3,,3,,,12,,3,4,2,9,,,1,22,,,2,7,,,,6,,4,,,4,,,,,1,,
1380,51887/41688/31526,--/32336/--,--/28435/--,4,,3,,4,12,3,55,2,3,1,,,1,,,,2,,,4,,,,1,,,5,,5,2,2,4,,,,13,,,,109,,1,,8,,2,1,,2,,,,,1,,
